travelCode,User_ID,Departure,Arrival,Assigned Hotel,Stars,Check-in Date,Bedroom Type,Room Price per Night,Number of Adults,Number of Children,Number of Bedrooms,Total Cost per Night,Amenities,Days of Stay,Total Cost,Check-Out Date
55,0,Puducherry,Khowai,Hotel Green Park,5,2020-10-15,Executive,12160.0,3,0,2,24320.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad', 'Private Butler']",7,170240.0,2020-10-22
57,0,Jamshedpur,Visakhapatnam,Hotel Lakshmi Grand,1,2020-10-29,Executive,2259.0,1,1,1,2259.0,"['Wi-Fi', 'Parking', 'Housekeeping', 'Breakfast']",5,11295.0,2020-11-03
60,0,Nashik,Indore,Hotel Kalinga,2,2020-11-19,Deluxe,2220.0,1,0,1,2220.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Coffee Maker']",3,6660.0,2020-11-22
65,0,Mopa,Gwalior,Clarks Inn Suites,4,2020-12-24,Deluxe,7572.0,1,2,1,7572.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Business Center', 'Rooftop Lounge']",5,37860.0,2020-12-29
73,0,Prayagraj,Ahmedabad,Hyatt Regency Ahmedabad,5,2021-02-18,Deluxe,9018.0,4,0,2,18036.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service']",6,108216.0,2021-02-24
81,0,Khowai,Prayagraj,Hotel Milan Palace,2,2021-04-15,Suite,3266.0,1,0,1,3266.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Coffee Maker', 'Laundry']",4,13064.0,2021-04-19
86,0,Prayagraj,Dhubri,Hotel Highway,2,2021-05-21,Deluxe,2322.0,3,2,3,6966.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Laundry']",1,6966.0,2021-05-22
87,0,Vadodara,Ahmedabad,Hotel Host Inn,2,2021-05-27,Executive,3241.0,2,2,2,6482.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",5,32410.0,2021-06-01
90,1,Vijayawada,Chandigarh,Hometel Chandigarh,3,2019-10-03,Deluxe,3476.0,1,0,1,3476.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms', 'Airport Shuttle']",5,17380.0,2019-10-08
92,1,Ludhiana,Puri,Hotel Holiday Resort,3,2019-10-17,Deluxe,4476.0,1,0,1,4476.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",4,17904.0,2019-10-21
100,2,Raigarh,Kullu-Manali,The Himalayan,5,2019-10-31,Deluxe,10903.0,3,3,3,32709.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Private Butler']",2,65418.0,2019-11-02
101,2,Khowai,Amritsar,Hotel CJ International,2,2019-11-07,Executive,2984.0,3,0,2,5968.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Laundry']",7,41776.0,2019-11-14
105,2,Bengaluru,Mysuru,Hotel Aditya,2,2019-12-05,Deluxe,2902.0,4,2,3,8706.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",7,60942.0,2019-12-12
108,2,Chennai,Visakhapatnam,Treebo Trend Seaesta RK Beach,3,2019-12-26,Executive,5676.0,3,0,2,11352.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",1,11352.0,2019-12-27
109,2,Gwalior,Khowai,Hotel Royal Residency,3,2020-01-02,Suite,6297.0,4,3,4,25188.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",4,100752.0,2020-01-06
110,2,Puri,Surat,Hotel Merit,1,2020-01-09,Deluxe,1600.0,3,3,3,4800.0,"['Wi-Fi', 'Parking', 'Housekeeping', 'Breakfast']",7,33600.0,2020-01-16
112,2,Ahmedabad,Srinagar,Hotel Comrade Inn,3,2020-01-23,Executive,5114.0,2,2,2,10228.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar', 'Airport Shuttle']",1,10228.0,2020-01-24
116,2,Khowai,Shimla,Hotel Dreamland,1,2020-02-20,Suite,2170.0,2,0,1,2170.0,"['Wi-Fi', 'Parking']",3,6510.0,2020-02-23
117,2,Tirupati,Amritsar,Hotel City Castle,1,2020-02-27,Deluxe,1356.0,1,0,1,1356.0,"['Wi-Fi', 'Parking', 'Housekeeping', 'Breakfast']",6,8136.0,2020-03-04
119,2,Ranchi,Guwahati,Hotel Siroy Lily,1,2020-03-12,Deluxe,1729.0,1,2,1,1729.0,"['Wi-Fi', 'Parking', 'Housekeeping']",5,8645.0,2020-03-17
122,2,Dehradun,Mumbai,Hotel City Palace,2,2020-04-02,Executive,3346.0,1,0,1,3346.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",2,6692.0,2020-04-04
124,2,Ahmedabad,Puducherry,The Residency Towers,5,2020-04-16,Deluxe,11151.0,4,2,3,33453.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Helipad', 'Private Butler']",4,133812.0,2020-04-20
125,2,Guwahati,Varanasi,Hotel Hindusthan International,3,2020-04-23,Deluxe,5347.0,3,3,3,16041.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Airport Shuttle', 'Meeting Rooms']",2,32082.0,2020-04-25
135,2,Puri,Kullu-Manali,Hotel Piccadilly,3,2020-07-02,Suite,6876.0,4,0,2,13752.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms']",2,27504.0,2020-07-04
137,2,Srinagar,Mysuru,The Quorum,3,2020-07-16,Suite,5532.0,2,0,1,5532.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",1,5532.0,2020-07-17
150,2,Raipur,Hyderabad,Taj Falaknuma Palace,5,2020-10-15,Suite,16164.0,2,1,2,32328.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",5,161640.0,2020-10-20
153,2,Delhi NCR,Khowai,Hotel Green Park,5,2020-11-05,Deluxe,10289.0,4,0,2,20578.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler']",2,41156.0,2020-11-07
156,2,Vijayawada,Mopa,Hotel Hill Rock,1,2020-11-27,Deluxe,1796.0,4,0,2,3592.0,"['Wi-Fi', 'Parking', 'Breakfast', 'Housekeeping']",1,3592.0,2020-11-28
160,2,Ahmedabad,Srinagar,Hotel Comrade Inn,3,2020-12-24,Executive,5114.0,3,2,3,15342.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle', 'Bar']",2,30684.0,2020-12-26
165,2,Mopa,Diu,Hotel Kohinoor,4,2021-01-28,Executive,9016.0,2,3,2,18032.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",3,54096.0,2021-01-31
177,2,Ranchi,Bengaluru,Hotel Empire,1,2021-04-22,Suite,2364.0,1,0,1,2364.0,"['Wi-Fi', 'Parking', 'Housekeeping']",6,14184.0,2021-04-28
180,2,Srinagar,Gangtok,Hotel Tashi Delek,2,2021-05-13,Executive,3453.0,2,1,2,6906.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",4,27624.0,2021-05-17
187,2,Prayagraj,Udaipur,The Ananta Udaipur,4,2021-07-01,Executive,8553.0,4,2,3,25659.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna']",4,102636.0,2021-07-05
188,2,Itanagar,Kota,Country Inn & Suites,4,2021-07-08,Executive,8481.0,1,0,1,8481.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",6,50886.0,2021-07-14
189,2,Varanasi,Jaipur,Vesta International,3,2021-07-15,Deluxe,4970.0,2,1,2,9940.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms']",4,39760.0,2021-07-19
192,2,Dhubri,Thiruvananthapuram,Hilton Garden Inn,5,2021-08-05,Deluxe,11962.0,1,2,1,11962.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Helipad', 'Private Butler']",5,59810.0,2021-08-10
197,2,Kolkata,Bhubaneswar,Hotel Arya Palace,1,2021-09-09,Executive,1694.0,3,2,3,5082.0,"['Wi-Fi', 'Parking', 'Breakfast']",6,30492.0,2021-09-15
201,2,Mopa,Ranchi,Radisson Blu Hotel Ranchi,4,2021-11-07,Deluxe,5757.0,4,2,3,17271.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Business Center', 'Sauna']",1,17271.0,2021-11-08
205,2,Gangtok,Dabolim,Hotel La Paz Gardens,2,2021-11-04,Suite,3630.0,3,2,3,10890.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Laundry', 'Coffee Maker']",4,43560.0,2021-11-08
211,2,Shillong,Raigarh,Hotel Ans International,3,2021-12-16,Suite,5052.0,1,2,1,5052.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar', 'Airport Shuttle']",4,20208.0,2021-12-20
213,2,Pune,Vadodara,Hampton by Hilton Vadodara,3,2021-12-30,Deluxe,4311.0,3,1,2,8622.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Airport Shuttle', 'Meeting Rooms']",7,60354.0,2022-01-06
214,2,Vadodara,Ludhiana,Radisson Blu Hotel Ludhiana,4,2022-01-06,Suite,9540.0,4,0,2,19080.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",3,57240.0,2022-01-09
219,2,Vadodara,Varanasi,Hotel Hindusthan International,3,2022-02-10,Suite,7292.0,2,2,2,14584.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms']",1,14584.0,2022-02-11
221,2,Srinagar,Mumbai,Hotel New Shree Niwas,1,2022-02-24,Deluxe,1657.0,3,2,3,4971.0,"['Wi-Fi', 'Parking', 'Housekeeping', 'Breakfast']",3,14913.0,2022-02-27
224,2,Nashik,Ayodhya,Hotel Ramprastha,5,2022-03-17,Suite,15592.0,3,1,2,31184.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Helipad']",1,31184.0,2022-03-18
225,2,Amritsar,Guwahati,Hotel Siroy Lily,1,2022-03-24,Executive,2044.0,2,3,2,4088.0,"['Wi-Fi', 'Parking', 'Breakfast']",3,12264.0,2022-03-27
233,3,Bhopal,Dehradun,Lemon Tree Hotel,4,2019-11-14,Deluxe,5861.0,4,1,3,17583.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",3,52749.0,2019-11-17
235,3,Nashik,Varanasi,Hotel Tridev,2,2019-11-28,Executive,2934.0,2,1,2,5868.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Coffee Maker']",1,5868.0,2019-11-29
238,3,Bengaluru,Dhubri,Hotel Green View,1,2019-12-19,Suite,2070.0,1,2,1,2070.0,"['Wi-Fi', 'Parking', 'Housekeeping']",6,12420.0,2019-12-25
239,3,Jaipur,Coimbatore,Hotel City Tower,1,2019-12-26,Executive,1502.0,2,1,2,3004.0,"['Wi-Fi', 'Parking', 'Housekeeping', 'Breakfast']",4,12016.0,2019-12-30
240,3,Chennai,Udaipur,Hotel Dream Palace,1,2020-01-02,Suite,1684.0,1,2,1,1684.0,"['Wi-Fi', 'Parking', 'Breakfast', 'Housekeeping']",4,6736.0,2020-01-06
241,3,Kullu-Manali,Mopa,Hotel Swarnam,2,2020-01-09,Deluxe,2476.0,2,3,2,4952.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",3,14856.0,2020-01-12
243,3,Khowai,Kota,Hotel Madhushree,1,2020-01-23,Executive,1998.0,1,2,1,1998.0,"['Wi-Fi', 'Parking', 'Housekeeping', 'Breakfast']",3,5994.0,2020-01-26
244,3,Prayagraj,Gwalior,Taj Usha Kiran Palace,5,2020-01-30,Executive,14150.0,1,0,1,14150.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler', 'Helipad', 'Limousine Service']",1,14150.0,2020-01-31
246,3,Raipur,Prayagraj,Hotel Harsh Ananda,3,2020-02-13,Executive,5619.0,1,2,1,5619.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",7,39333.0,2020-02-20
248,3,Dehradun,Varanasi,Hotel Hindusthan International,3,2020-02-28,Deluxe,5347.0,4,2,3,16041.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",5,80205.0,2020-03-04
255,3,Raigarh,Nashik,The Gateway Hotel,4,2020-04-16,Deluxe,7122.0,1,2,1,7122.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna']",1,7122.0,2020-04-17
259,3,Kullu-Manali,Ayodhya,Hotel Panchsheel,1,2020-05-14,Suite,1923.0,2,2,2,3846.0,"['Wi-Fi', 'Parking', 'Housekeeping', 'Breakfast']",4,15384.0,2020-05-18
263,3,Kullu-Manali,Srinagar,The Lalit Grand Palace,5,2020-06-11,Deluxe,11090.0,1,1,1,11090.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad']",1,11090.0,2020-06-12
269,3,Ayodhya,Udaipur,Hotel Dream Palace,1,2020-07-23,Deluxe,1235.0,1,0,1,1235.0,"['Wi-Fi', 'Parking', 'Breakfast']",3,3705.0,2020-07-26
275,3,Bhubaneswar,Patna,Hotel Patliputra Exotica,3,2020-10-03,Deluxe,4281.0,2,3,2,8562.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",6,51372.0,2020-10-09
279,3,Kolkata,Jamshedpur,Ramada Jamshedpur,4,2020-10-01,Suite,8007.0,4,0,2,16014.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",2,32028.0,2020-10-03
283,3,Bilaspur,Puducherry,Hotel Annamalai International,2,2020-10-30,Deluxe,2812.0,4,3,4,11248.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Laundry']",6,67488.0,2020-11-05
287,3,Jaipur,Nashik,The Gateway Hotel,4,2020-11-26,Deluxe,7122.0,3,2,3,21366.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge']",6,128196.0,2020-12-02
290,3,Coimbatore,Srinagar,Vivanta Dal View,4,2020-12-17,Suite,8810.0,4,0,2,17620.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Sauna']",7,123340.0,2020-12-24
291,3,Dabolim,Kolkata,Hotel Dee Empresa,2,2020-12-24,Executive,3445.0,2,1,2,6890.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Coffee Maker']",3,20670.0,2020-12-27
295,3,Amritsar,Kota,Hotel Surya Prime,2,2021-01-21,Executive,2911.0,2,2,2,5822.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",6,34932.0,2021-01-27
296,3,Delhi NCR,Nashik,Hotel Sai Palace,2,2021-01-28,Deluxe,2669.0,4,3,4,10676.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Laundry']",3,32028.0,2021-01-31
299,3,Bhubaneswar,Dehradun,Lemon Tree Hotel,4,2021-02-18,Suite,7992.0,1,1,1,7992.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Sauna']",1,7992.0,2021-02-19
300,3,Thiruvananthapuram,Guwahati,Hotel Dynasty,4,2021-02-25,Suite,9345.0,1,1,1,9345.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge']",6,56070.0,2021-03-03
303,3,Dhubri,Patna,Hotel Samrat International,2,2021-03-18,Deluxe,2721.0,4,1,3,8163.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Coffee Maker', 'Laundry']",4,32652.0,2021-03-22
305,3,Tirupati,Gwalior,Hotel Grace,3,2021-04-01,Executive,4528.0,2,2,2,9056.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",5,45280.0,2021-04-06
306,3,Shillong,Raipur,Hotel Simran,1,2021-04-08,Suite,1773.0,1,0,1,1773.0,"['Wi-Fi', 'Parking', 'Breakfast']",5,8865.0,2021-04-13
307,3,Puducherry,Pune,Hotel Orchard,2,2021-04-15,Executive,3852.0,3,2,3,11556.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Laundry', 'Coffee Maker']",2,23112.0,2021-04-17
311,3,Kota,Varanasi,Ramada Plaza JHV,4,2021-05-13,Deluxe,6415.0,1,0,1,6415.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge']",2,12830.0,2021-05-15
315,3,Vijayawada,Imphal,The Classic Hotel,3,2021-06-10,Suite,7112.0,1,1,1,7112.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms']",1,7112.0,2021-06-11
322,3,Nashik,Khowai,Hotel Green Park,5,2021-07-29,Executive,12160.0,4,1,3,36480.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",7,255360.0,2021-08-05
325,3,Ranchi,Srinagar,Hotel Comrade Inn,3,2021-08-19,Deluxe,4327.0,4,3,4,17308.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar']",5,86540.0,2021-08-24
337,3,Delhi NCR,Coimbatore,Gokulam Park Coimbatore,3,2021-12-11,Suite,6332.0,3,2,3,18996.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms']",4,75984.0,2021-12-15
338,3,Surat,Mumbai,The Taj Mahal Palace,5,2021-11-18,Suite,16028.0,4,0,2,32056.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler']",3,96168.0,2021-11-21
347,3,Nashik,Gwalior,Taj Usha Kiran Palace,5,2022-01-21,Suite,16328.0,4,0,2,32656.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad', 'Limousine Service']",7,228592.0,2022-01-28
350,3,Udaipur,Visakhapatnam,The Gateway Hotel Beach Road,4,2022-02-10,Deluxe,5545.0,4,1,3,16635.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Sauna']",2,33270.0,2022-02-12
363,3,Kolkata,Gwalior,Hotel Radiance,2,2022-05-12,Suite,3690.0,4,2,3,11070.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",4,44280.0,2022-05-16
369,3,Diu,Raipur,Courtyard by Marriott Raipur,5,2022-06-23,Executive,10604.0,4,1,3,31812.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler', 'Limousine Service', 'Helipad']",6,190872.0,2022-06-29
373,3,Chandigarh,Navi Mumbai,Hotel Abbott,2,2022-07-21,Executive,3516.0,3,0,2,7032.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Coffee Maker']",1,7032.0,2022-07-22
377,3,Prayagraj,Raigarh,Hotel Shubham Palace,5,2022-08-18,Deluxe,11416.0,3,2,3,34248.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler']",3,102744.0,2022-08-21
382,3,Raigarh,Kolkata,The Oberoi Grand,5,2022-09-22,Suite,15885.0,1,2,1,15885.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",4,63540.0,2022-09-26
383,3,Bhopal,Imphal,The Classic Hotel,3,2022-09-29,Suite,7112.0,1,1,1,7112.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms']",1,7112.0,2022-09-30
