guest_id,pax_id,special_requests,frequent_stay_hotel
GUEST00324,PAX00324,Early Check-in,HOTEL101
GUEST00325,PAX00325,Early Check-in,HOTEL138
GUEST00326,PAX00326,Late Check-out,HOTEL256
GUEST00327,PAX00327,Early Check-in,HOTEL6
GUEST00328,PAX00328,None,HOTEL386
GUEST00329,PAX00329,Late Check-out,HOTEL418
GUEST00330,PAX00330,Extra Bed,HOTEL68
GUEST00331,PAX00331,Early Check-in,HOTEL7
GUEST00332,PAX00332,None,HOTEL448
GUEST00333,PAX00333,Late Check-out,HOTEL489
GUEST00334,PAX00334,Late Check-out,HOTEL192
GUEST00335,PAX00335,Extra Bed,HOTEL430
GUEST00336,PAX00336,None,HOTEL299
GUEST00337,PAX00337,Extra Bed,HOTEL288
GUEST00338,PAX00338,Early Check-in,HOTEL171
GUEST00339,PAX00339,None,HOTEL284
GUEST00340,PAX00340,Early Check-in,HOTEL3
GUEST00341,PAX00341,None,HOTEL416
GUEST00342,PAX00342,Extra Bed,HOTEL189
GUEST00343,PAX00343,Late Check-out,HOTEL84
GUEST00344,PAX00344,Early Check-in,HOTEL160
GUEST00345,PAX00345,Early Check-in,HOTEL440
GUEST00346,PAX00346,Extra Bed,HOTEL58
GUEST00347,PAX00347,None,HOTEL230
GUEST00348,PAX00348,Extra Bed,HOTEL292
GUEST00349,PAX00349,None,HOTEL117
GUEST00350,PAX00350,None,HOTEL22
GUEST00351,PAX00351,None,HOTEL60
GUEST00352,PAX00352,Extra Bed,HOTEL134
GUEST00353,PAX00353,Early Check-in,HOTEL120
GUEST00354,PAX00354,None,HOTEL2
GUEST00355,PAX00355,Late Check-out,HOTEL75
GUEST00356,PAX00356,Early Check-in,HOTEL199
GUEST00357,PAX00357,Early Check-in,HOTEL127
GUEST00358,PAX00358,Late Check-out,HOTEL186
GUEST00359,PAX00359,Early Check-in,HOTEL177
GUEST00360,PAX00360,Extra Bed,HOTEL30
GUEST00361,PAX00361,None,HOTEL269
GUEST00362,PAX00362,Early Check-in,HOTEL204
GUEST00363,PAX00363,None,HOTEL250
GUEST00364,PAX00364,Extra Bed,HOTEL401
GUEST00365,PAX00365,Extra Bed,HOTEL206
GUEST00366,PAX00366,Extra Bed,HOTEL104
GUEST00367,PAX00367,Extra Bed,HOTEL308
GUEST00368,PAX00368,Extra Bed,HOTEL456
GUEST00369,PAX00369,Early Check-in,HOTEL240
GUEST00370,PAX00370,Late Check-out,HOTEL41
GUEST00371,PAX00371,Extra Bed,HOTEL279
GUEST00372,PAX00372,Extra Bed,HOTEL76
GUEST00373,PAX00373,None,HOTEL309
GUEST00374,PAX00374,None,HOTEL274
GUEST00375,PAX00375,Extra Bed,HOTEL295
GUEST00376,PAX00376,Late Check-out,HOTEL89
GUEST00377,PAX00377,Early Check-in,HOTEL254
GUEST00378,PAX00378,Early Check-in,HOTEL484
GUEST00379,PAX00379,Early Check-in,HOTEL223
GUEST00380,PAX00380,Extra Bed,HOTEL157
GUEST00381,PAX00381,None,HOTEL238
GUEST00382,PAX00382,Extra Bed,HOTEL228
GUEST00383,PAX00383,Late Check-out,HOTEL396
GUEST00384,PAX00384,None,HOTEL443
GUEST00385,PAX00385,Extra Bed,HOTEL82
GUEST00386,PAX00386,Late Check-out,HOTEL443
GUEST00387,PAX00387,Extra Bed,HOTEL276
GUEST00388,PAX00388,Late Check-out,HOTEL26
GUEST00389,PAX00389,Early Check-in,HOTEL361
GUEST00390,PAX00390,Early Check-in,HOTEL375
GUEST00391,PAX00391,Extra Bed,HOTEL301
GUEST00392,PAX00392,Extra Bed,HOTEL301
GUEST00393,PAX00393,Early Check-in,HOTEL233
GUEST00394,PAX00394,None,HOTEL44
GUEST00395,PAX00395,None,HOTEL247
GUEST00396,PAX00396,None,HOTEL339
GUEST00397,PAX00397,Late Check-out,HOTEL415
GUEST00398,PAX00398,Extra Bed,HOTEL291
GUEST00399,PAX00399,Early Check-in,HOTEL428
GUEST00400,PAX00400,Late Check-out,HOTEL163
GUEST00401,PAX00401,Late Check-out,HOTEL400
GUEST00402,PAX00402,Early Check-in,HOTEL250
GUEST00403,PAX00403,Late Check-out,HOTEL77
GUEST00404,PAX00404,Early Check-in,HOTEL391
GUEST00405,PAX00405,Late Check-out,HOTEL93
GUEST00406,PAX00406,Late Check-out,HOTEL469
GUEST00407,PAX00407,Early Check-in,HOTEL14
GUEST00408,PAX00408,Extra Bed,HOTEL282
GUEST00409,PAX00409,Extra Bed,HOTEL226
GUEST00410,PAX00410,Extra Bed,HOTEL370
GUEST00411,PAX00411,Early Check-in,HOTEL141
GUEST00412,PAX00412,Late Check-out,HOTEL361
GUEST00413,PAX00413,None,HOTEL40
GUEST00414,PAX00414,Late Check-out,HOTEL30
GUEST00415,PAX00415,Extra Bed,HOTEL156
GUEST00416,PAX00416,Late Check-out,HOTEL10
GUEST00417,PAX00417,Early Check-in,HOTEL135
GUEST00418,PAX00418,Late Check-out,HOTEL467
GUEST00419,PAX00419,Early Check-in,HOTEL322
GUEST00420,PAX00420,Early Check-in,HOTEL194
GUEST00421,PAX00421,None,HOTEL255
GUEST00422,PAX00422,Early Check-in,HOTEL451
GUEST00423,PAX00423,Late Check-out,HOTEL86
GUEST00424,PAX00424,Early Check-in,HOTEL275
GUEST00425,PAX00425,Late Check-out,HOTEL5
GUEST00426,PAX00426,None,HOTEL49
GUEST00427,PAX00427,Late Check-out,HOTEL204
GUEST00428,PAX00428,None,HOTEL354
GUEST00429,PAX00429,Extra Bed,HOTEL345
GUEST00430,PAX00430,Early Check-in,HOTEL361
GUEST00431,PAX00431,None,HOTEL14
GUEST00432,PAX00432,Extra Bed,HOTEL331
GUEST00433,PAX00433,Extra Bed,HOTEL408
GUEST00434,PAX00434,Late Check-out,HOTEL470
GUEST00435,PAX00435,Extra Bed,HOTEL369
GUEST00436,PAX00436,Early Check-in,HOTEL171
GUEST00437,PAX00437,Early Check-in,HOTEL126
GUEST00438,PAX00438,Early Check-in,HOTEL379
GUEST00439,PAX00439,None,HOTEL461
GUEST00440,PAX00440,None,HOTEL27
GUEST00441,PAX00441,Late Check-out,HOTEL112
GUEST00442,PAX00442,Early Check-in,HOTEL158
GUEST00443,PAX00443,None,HOTEL255
GUEST00444,PAX00444,Extra Bed,HOTEL123
GUEST00445,PAX00445,Extra Bed,HOTEL373
GUEST00446,PAX00446,Early Check-in,HOTEL386
GUEST00447,PAX00447,Late Check-out,HOTEL1
GUEST00448,PAX00448,Extra Bed,HOTEL81
GUEST00449,PAX00449,Extra Bed,HOTEL367
GUEST00450,PAX00450,Early Check-in,HOTEL339
GUEST00451,PAX00451,Early Check-in,HOTEL231
GUEST00452,PAX00452,None,HOTEL307
GUEST00453,PAX00453,Early Check-in,HOTEL133
GUEST00454,PAX00454,Extra Bed,HOTEL23
GUEST00455,PAX00455,Late Check-out,HOTEL11
GUEST00456,PAX00456,Extra Bed,HOTEL260
GUEST00457,PAX00457,Early Check-in,HOTEL155
GUEST00458,PAX00458,Early Check-in,HOTEL409
GUEST00459,PAX00459,Early Check-in,HOTEL74
GUEST00460,PAX00460,Extra Bed,HOTEL442
GUEST00461,PAX00461,Early Check-in,HOTEL58
GUEST00462,PAX00462,Late Check-out,HOTEL374
GUEST00463,PAX00463,Late Check-out,HOTEL485
GUEST00464,PAX00464,Extra Bed,HOTEL398
GUEST00465,PAX00465,Late Check-out,HOTEL465
GUEST00466,PAX00466,Late Check-out,HOTEL271
GUEST00467,PAX00467,None,HOTEL293
GUEST00468,PAX00468,Early Check-in,HOTEL123
GUEST00469,PAX00469,Extra Bed,HOTEL418
GUEST00470,PAX00470,Late Check-out,HOTEL20
GUEST00471,PAX00471,Extra Bed,HOTEL420
GUEST00472,PAX00472,Extra Bed,HOTEL198
GUEST00473,PAX00473,Extra Bed,HOTEL457
GUEST00474,PAX00474,Extra Bed,HOTEL331
GUEST00475,PAX00475,Extra Bed,HOTEL288
GUEST00476,PAX00476,Late Check-out,HOTEL328
GUEST00477,PAX00477,Extra Bed,HOTEL145
GUEST00478,PAX00478,Late Check-out,HOTEL375
GUEST00479,PAX00479,Extra Bed,HOTEL249
GUEST00480,PAX00480,Extra Bed,HOTEL388
GUEST00481,PAX00481,Late Check-out,HOTEL12
GUEST00482,PAX00482,None,HOTEL215
GUEST00483,PAX00483,Late Check-out,HOTEL223
GUEST00484,PAX00484,Early Check-in,HOTEL144
GUEST00485,PAX00485,None,HOTEL6
GUEST00486,PAX00486,Extra Bed,HOTEL446
GUEST00487,PAX00487,Early Check-in,HOTEL347
GUEST00488,PAX00488,Early Check-in,HOTEL247
GUEST00489,PAX00489,None,HOTEL470
GUEST00490,PAX00490,Early Check-in,HOTEL481
GUEST00491,PAX00491,Early Check-in,HOTEL391
GUEST00492,PAX00492,Late Check-out,HOTEL390
GUEST00493,PAX00493,Late Check-out,HOTEL420
GUEST00494,PAX00494,None,HOTEL478
GUEST00495,PAX00495,Early Check-in,HOTEL398
GUEST00496,PAX00496,Late Check-out,HOTEL133
GUEST00497,PAX00497,Early Check-in,HOTEL275
GUEST00498,PAX00498,Early Check-in,HOTEL21
GUEST00499,PAX00499,Early Check-in,HOTEL368
GUEST00500,PAX00500,Late Check-out,HOTEL365
GUEST00501,PAX00501,Early Check-in,HOTEL98
GUEST00502,PAX00502,None,HOTEL279
GUEST00503,PAX00503,Extra Bed,HOTEL225
GUEST00504,PAX00504,Early Check-in,HOTEL392
GUEST00505,PAX00505,Late Check-out,HOTEL226
GUEST00506,PAX00506,None,HOTEL475
GUEST00507,PAX00507,Early Check-in,HOTEL185
GUEST00508,PAX00508,None,HOTEL458
GUEST00509,PAX00509,Extra Bed,HOTEL315
GUEST00510,PAX00510,Early Check-in,HOTEL233
GUEST00511,PAX00511,None,HOTEL122
GUEST00512,PAX00512,Early Check-in,HOTEL393
GUEST00513,PAX00513,Late Check-out,HOTEL215
GUEST00514,PAX00514,Early Check-in,HOTEL357
GUEST00515,PAX00515,None,HOTEL360
GUEST00516,PAX00516,Early Check-in,HOTEL130
GUEST00517,PAX00517,Extra Bed,HOTEL437
GUEST00518,PAX00518,Early Check-in,HOTEL178
GUEST00519,PAX00519,Early Check-in,HOTEL330
GUEST00520,PAX00520,Late Check-out,HOTEL193
GUEST00521,PAX00521,Late Check-out,HOTEL317
GUEST00522,PAX00522,Extra Bed,HOTEL217
GUEST00523,PAX00523,Early Check-in,HOTEL134
GUEST00524,PAX00524,Early Check-in,HOTEL414
GUEST00525,PAX00525,Early Check-in,HOTEL468
GUEST00526,PAX00526,Late Check-out,HOTEL74
GUEST00527,PAX00527,Early Check-in,HOTEL494
GUEST00528,PAX00528,Extra Bed,HOTEL406
GUEST00529,PAX00529,Late Check-out,HOTEL412
GUEST00530,PAX00530,Late Check-out,HOTEL113
GUEST00531,PAX00531,Early Check-in,HOTEL296
GUEST00532,PAX00532,Early Check-in,HOTEL339
GUEST00533,PAX00533,None,HOTEL5
GUEST00534,PAX00534,None,HOTEL60
GUEST00535,PAX00535,Late Check-out,HOTEL22
GUEST00536,PAX00536,Extra Bed,HOTEL41
GUEST00537,PAX00537,Extra Bed,HOTEL253
GUEST00538,PAX00538,Extra Bed,HOTEL491
GUEST00539,PAX00539,None,HOTEL421
GUEST00540,PAX00540,Late Check-out,HOTEL200
