Location;Hotel;UserID;Title;Review;Rating;Value;Accessibility;Service;Room;Cleanliness;Sleep Quality
Legian Kuta Bali;Merccure Bali Legian;Hafidz L;Amazing service in an OK hotel;I was writing this review before check out. Stayed here with my wife and my 3 y.o boy. The hotel is O.K, the breakfast is O.K. No major minus, yet not an outstanding one. The reason why i gave 5 stars is because the way they respond to my family needs. The highlight is when the bring a new fridge from different floor because the minibar fridge in my my room is not working well while i need to keep milk for my boy there. At the same day, they also want to change my bedsheet in the afternoon because my boy accidentaly drop his milk on the bed. Amazing stay and will deff comeback. Btw, their location amazing.;5;0;1;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Hasan A;Good Hotel Vibes;Good hotel dengan good location. Staff sangat ramah, hotel bersih pelayanan sangat bagus. Very helpful customer service. I will recommendation this hotel to our guest and my family. Pool clean, restaunrant also clean;5;0;1;0;0;1;0
Legian Kuta Bali;Merccure Bali Legian;Happiness717301;Five night stay;Loved everything aboutThe Mecure. The Staff couldn’t do enough for us nothing was a problem. Great location close to nice restaurants, 10 min easy walk to the beach. We had a room with a plunge pool we couldn’t fault it. It was cleaned every day. The two pools are clean and both have bar service. We will definitely be staying here again.;5;0;1;0;0;1;0
Legian Kuta Bali;Merccure Bali Legian;corgi47;Loved this hotel!;4th time in Bali, but this time just the wife (no kids - yay!). Our 1st two nights were here in Legian at the Mecure. Now, we usually do villas (and we stayed at two after our stay here) but never stayed in Legian and selected this. Great choice. King room with private plunge pool was a brilliant. Spacious. Clean. And the pool area was perfect. Hotel is right in the action for restaurants and shopping. THe staff are so helpful and courteous. 100% we will stay here again.;5;1;1;0;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Leandro D;Holiday Disaster Avoided Thanks to this awesome hotel and its staff;If you are looking for great value, amazing location, excellent service, and truly amazing staff that gen nely care for their guests this is the place for you. I originally had booked another mercure property in Nusa Dua recommended by a friend. I arrived there late after a 6.5 hour flight from Melbourne. To my dismay I was given a dilapidated room with non functioning air conditioning despite being an Accor Platinum Member. The staff there was completely dismissive regarding my concerns. The next morning I decided I was not going to let this property r n my holiday. I phoned the Mercure Legian and asked to speak to the manager on duty. I was transferred to Yanty. I explained to her my situation and asked if she could get me a room last minute at a reasonable price. Not;5;1;1;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Sid_sidath;Well maintained property tucked away in the center of party central of Legian;We stayed 4nights at Mercure Legian in a superior room with balcony overlooking the swimming pool. The property is well maintained and very friend and attentive staff. The property is very convention located to all the hot spots around legian. The rooms were comfortable and we enjoyed our stay at this property. There is free car parking at the basement for guests a spa a fitness center & a decent resturaent on the ground floor and two swimming pools. The fitness center needs to be redone.;5;0;0;0;1;0;1
Legian Kuta Bali;Merccure Bali Legian;Joshane615;Fantastic location!;Great hotel in a fantastic location. Close to lots of great restaurants and cafes. Only a five minute walk to either the Legian st or Melasti st Yes spas. Walking distance to Kuta and Seminyak (10-15 minutes). Two beautiful pools, awesome buffet breakfast and the staff are super friendly. Rooms are a decent size and have modern decor. We’ve stayed here a few times now and love the value for money.;4;1;1;0;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Andrea K;Great Location!;Good hotel in fantastic location! near great restaurants, shops and very close to beach. Hotel getting back to pre-Covid standard with clearly a lot of maintenance and upgrades going on. Comfortable rooms which in time could benefit with a renovation. Breakfast was pretty good with lots of choices and an egg station. Coffee was also good! Only downfall was the upstairs pool had a lot of debris from sunscreen floating on the top and the water wasn’t very clear.;4;0;1;0;0;0;1
Legian Kuta Bali;Merccure Bali Legian;Alex 65;Excellent Hotel;Excellent Mercure Legian hotel located in a great spot. Deluxe King room with private plunge pool are the best to go for. breakfast is excellent with everything item that's needed. All staff right across the whole hotel are first class & very friendly. Highly recommend the Mercure Legian Hotel;5;1;1;0;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Chris B;Great Hotel in the heart of Bali;We have stayed here Two times now and it is a good place for a great Price Clean, Great breakfast . Two nice pools one upstairs in full sun all day which feels heated and one on ground level in the shade. Friendly Staff who will try their best to do everything that you ask Would stay there again as we like the location close to everything and only Five minutes walk to the Beach;4;1;1;0;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Tara;Short trip away with the hubby;Wanted a short week away post covid with the hubby minus the kidlets. It was beautiful. Has 2 pools… lovely deck chairs. Bar and restaurant good. Lovely service and good prices. Beds were super comfy . Wifi was good. Cocktail prices were good for a hotel. We will definitely be booking next year! Thanks again;5;0;1;0;0;0;0
Legian Kuta Bali;Merccure Bali Legian;yuyatdi@yahoo.com.sg;Good Service;Stay with family, walking to Legian Beach was around 10 minutes relax walk, hotel room standard Mercure, breakfast for my family was fit to our taste, q te good selections. most of hotel staff was great service and generally was great hotel to stay with!;4;0;0;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Tony Halim;First time stay at this hotel.;Pretty good experience to be recognised as Accor plus member and accorded the late checkout. Simple room, neat and clean. A shout out to Ms Ratna at the Ancak restaurant, for being attentive to my needs and being so friendly! Overall a good experience at Mercure Legian.;4;0;0;0;0;1;0
Legian Kuta Bali;Merccure Bali Legian;catherine w;Still great;Loved coming back to our favourite hotel in Bali . We were really excited to get back once again after a two year and two month break from the wonderful Mecure Bali Legian . We have had so many wonderful stays here . Very happy to see some smiling faces of the familiar staff we know and love . Missing front of house , reception staff , especially Anik and Dwi . Hoping to see them again in the future as they are so friendly and professional . I guess we have been spoilt over the years as they always knew our likes and dislikes and could g de us to information needed whenever we asked for assistance . Spoilt we have been as repeater guests to the hotel . A two year hiatus has not helped with conditions of the hotel to survive covid , for example . Changes have happened and not;4;1;0;0;0;0;0
Legian Kuta Bali;Merccure Bali Legian;hopam;Close to shops;Easy to walk to shops Circle K across the road , laundry across the road Was happy where we stayed had 2 pools we had plunge pool so we were happy with and could swim anytime of the night and morning as we had a massive wall around us kept the noise in;5;0;1;0;0;0;0
Legian Kuta Bali;Merccure Bali Legian;@officialedmundo;Me and Mercure Bali Legian are a Match made in Heaven;Out of all the hotels in Bali, Mercure Bali Legian ticks all the boxes. It is by far my favourite hotel, and I can't even remember the amount of times I stayed here over the years. The super friendly staff makes each stay memorable and I am honoured each time I step foot at the hotel. The rooms are spectacular. I particularly love the Deluxe Room with Plunge Pool, as I take a dip every time I want in privacy. The hotel os eq pped with two fantastic pools (one open during the pandemic), a commendable gym (closed during the last time I stayed though), and is in an excellent location close to Kuta Beach, Seminyak, Sunset Road and Kerobokan. Only a short drive to the Airport too. Shout out to Mr Mudita, who always make my stay delightful, and to Mr Nengah for always making up my;5;1;1;0;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Dory S;lovely work from bali;love this hotel the service is really great fast respond and so friendly its felt like home. thank to ms. tari for the kindness and fast respon for every need we ask for. we stay for 3 night for a meeting and we really happy with all the service they give us. the location is good, the food is great and i love my room so much;5;0;0;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;FRL03;Great hotel, but need some cleaning;The hotel is located in the heart of Legian. Just few minutes (walking) from the beach. I like the exterior décor of the hotel. Staffs were friendly and helpful. Faced a problem upon checking in (booked a package but the receptionist didn't promptly aware of the rediscover Indonesia package i booked, but not a big deal at all). I stayed in a plunge pool room, unfortunately at night i just realized that the celling was dirty. Breakfast was great (both ala carte and buffet.;4;0;1;0;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Farezi Indra;Very Good hotel at good location;The second time for me stay in mercure legian and still i love this hotel...next trip to bali definitely i will stay here again....but i think the internet must be upgraded because its slow when i use it;4;0;1;0;0;0;0
Legian Kuta Bali;Merccure Bali Legian;SuperGeisha;Visiting During Pandemic PPKM Lvl 3;Visiting during Pandemic PPKM Lvl 3 Check in: 09 Feb 2022 Check out: 13 Feb 2022 Room: 125 (upgraded due to ALL Platinum Status) Check in: 10/10 I see most of the FO staff is still training. So they dont know how to handle Platinum status guest yet. Luckily Ms. Bulan jumped in and handle my needs accordingly. ROOM 125 Bedroom Cleanliness: 7/10 I see some spots on the ceiling but not too noticeable with bare eyes. Pillow on the sofa need changing it looks dirty. Bed : 8/10 Very soft and i had good sleep during stays. Plunge Pool Cleanliness: 6/10 Theres so much leaves in the pool and the sofa next to the pool when it rains it leaked so its unusable. Airconditioning needs serious repair... I had to call front desk almost everyday to get the aircond to a cool temperature.;4;0;0;0;0;1;1
Legian Kuta Bali;Merccure Bali Legian;Matias W;A solid 4-star hotel;A solid 4-star hotel overall. High quality beddings. Passionate and professional staff. Good size room. Warm relaxing decor. Excellent air circulation / central AC system. My room might req re a refresh as it has started struggling with wear-and-tear. Water pressure could've been improved. A bit disappointed with the way they handled their Internet breakdown. I couldn't blame the staff as they're perhaps bound by Mercure's own policy. While occupancy rate was low due to the pandemic, they seemed to struggle to find me an alternative room with a good working Internet. Having said that, I was sufficiently happy with the solution they provided.;4;0;0;0;0;0;1
Legian Kuta Bali;Merccure Bali Legian;emirhartato;Not perfect, but decent.;Stayed here for 5 nights and I had a nice experience. 1. Check-in process I actually arrived a few hours earlier from the check-in hours but my room was ready, probably because there weren't many guests staying at that time. My ALL benefit was easily recognized and fulfilled. Surprisingly I got complimentary of fresh slice fr ts which is perfect for hot weather in Bali. 2. Room I was staying in Room 106, and the room is pretty standard with other Mercure branded hotel. Almost squeaky clean but the glass table already shown wear and tear. Size is decent for solo/couple, however for parents who travels with kids, you might want to consider a bigger room. I was expecting my room to be located in the high floor per my usual preference, but it's not a big deal, turns out the room;4;1;0;0;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Ayu Gita B;A q ck getaway for daycations;"Our daypass experience here was awesome! Tucked away in the Legian area, the poolpass sign was easy to spot. My boyfriend and I was actually booking a visit to Sheraton Hotel, but instead I postponed it till next month because of the crowd of some groups in front of the parking area of the hotel making me not in the mood for swimming. Okay, so we moved on, and looked for something else... and here we are in Mercure. The pool was pretty standard. It’s a small pool, but inviting. The lounge chair was kinda dirty tho’ but nice. Our fish and chips taste exceptionally flavorful; the snapper tastes fresh and j cy. Shoutout to Pak Made for great service and the trainee. Huge thanks! The only downside is that we had no idea where the shower was.";4;1;0;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Win;Nice Location and service;When I stayed there, only first floor rooms are opened. Few guests during the pandemic. Was upgraded to room with private pool. The hotels location is good, and the staffs are nice and accomodating. Definitely will come back.;4;0;0;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;esantoso;Decent Hotel in the Center of Legian;Mercure Legian is one of my favorite hotel in Legian. Location is very good as it is in the center of Legian, so just within walking distance to many restaurants, bars and shops. Too bad, this time, due to covid, all crowd in Legian did not exist as most places are still close. All the staff are very friendly and special thank to bu Melisa, who is very helpful during my stay in Mercure. Room with plung pool is very nice;5;0;1;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Aaron S;Worth a stay;Comfortable, friendly staffs. Booked room with private plunge pool. Pool is clean and relaxing. Breakfast is delicious. They also host a bazaar during my stay. Will definitely come back again next time, thank you Mercure Bali Legian.;5;0;0;1;0;1;0
Legian Kuta Bali;Merccure Bali Legian;Wander_masha;The perfect hotel!!;I really liked this hotel. This is a good place to stay in Kuta)) The staff were very polite, the room was clean, the linens were new. The hotel is located in a convenient location. I was very pleased with my number 💯;5;0;1;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;frederico_son;Nice hotel near legian beach;Good hotel in legian area, room clean and staff very friendly. From hotel walk to legian beach about 10 minutes . They got 2 swimming pool but now only open 1 because not much guest. Now not many restaurants or shop are open in Bali, kuta beach or legian beach also not many peoples.;5;0;1;1;0;1;0
Legian Kuta Bali;Merccure Bali Legian;hadi198424;Amazing Stay;I'd like to thanks in the beginning both Melisa and Derita for their nice welcoming and hosting the hotel facilities and rooms are really nice and luxury with the small swimming pool and Jacuzzi I should one day be back;5;0;0;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Simon T;Great location .;Fantastic hotel and terrific central location. Perfect location to walk in either direction. Great pool, restaurant and bar. Great rooms. close to restaurants, massage and shopping....looking forward to going back.;5;0;1;0;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Milka Wibowo;Best Bali Staycation Experience;My friend and I had an unforgettable 3 days 2 nights staycation at Mercure Legian last month. I think we stayed in the Deluxe Room with a Plunge Pool. The first day we got there we had their signature Bali massage treatment, we were being introduced to homemade products made in Bali and where the ingredients came from. At night we were really looking forward to having Friday BBQ Theme, however, due to the early pandemic situation, they had to cancel the BBQ dinner and we had our dinner at their Pole Restaurant instead. Everyone (the staff) has been very sweet and helpful to accommodate our special needs. Not forgot to mention that my friend is a strict vegan and it was incredible how they were very careful in preparing the dishes for her. On our last day, experienced our;5;1;0;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;catherine w;Home again;Thankyou Mecure Bali Legian once again .I checked out on the 19 th of March to return to Australia to go into isolation .Not knowing when we can get back into Bali is frustrating but at least we are safe at home .I am missing Bali and especially Mecure Legian and appreciate the wonderful service and treatment we receive when we are there .All the staff go out of their way to make guests feel comfortable .I cannot express how much I appreciate this care and understanding we receive from these beautiful people .We always feel safe and know every staff member go that extra mile to help with anything they can do to make for a wonderful holiday .Thankyou for exchanging our June nights to January 2021 .Just incase we can't get back this year ,see you all in 2021 .;5;0;0;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Sharon E;60th birthday;My husband and I recently stayed at the Mercure for his 60th birthday. The Mercure is in a brilliant location right in the heart of Legian. Our room was clean and a good size. The breakfast was great with plenty of variety and wonderful staff that looked after you perfectly. The pool areas and bar are great and well maintained. The staff at the Mercure are friendly and extremely helpful which we did appreciate. We will definitely be back😎;5;0;0;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;alan007Australia;Excellent - great hotel near beach, cafes & nightlife;The Mecure Bali Legian is well located within walking distance to the beach, nightlife and cafes. The hotel is clean and well appointed with two relaxing swimming pools. The air conditioned rooms are clean, well appointed, and many have a nice private veranda. Breakfast has a wide selection on offer and make a nice coffee. The staff are very friendly. I will stay at the Mercure Bali Legian on my next visit to Bali.;5;0;1;0;0;1;0
Legian Kuta Bali;Merccure Bali Legian;Alicia K;Mecure legian;Amazing hotel. Very clean and super friendly staff who go above and beyond. Our room was cleaned every day by santika who made us a lovely towel arrangement every day. Have stayed here a few times and you will stay again;5;0;0;1;0;1;0
Legian Kuta Bali;Merccure Bali Legian;michelleM7756XM;Great value for money!;We stayed at the Mecure Bali Legian for 3 nights. It is great value for money with excellent service and a good location for shopping & restaurants and not too far to the beach. We really enjoyed the breakfast selection which catered for everyone and the Al la Carter menu had plenty to choose from. The rooms although a little small had everything you need and were clean and comfortable. A great place to stay!;5;1;1;0;0;0;0
Legian Kuta Bali;Merccure Bali Legian;julieannbroughton;Absolutely amazing staff;Great food and amazing service. The rooms were beautiful and the staff were so polite and accommodating. Will definitely stay again on my next Bali trip. The availability of having two pools was great and the day spa was amazing;5;0;0;1;1;0;0
Legian Kuta Bali;Merccure Bali Legian;Alberth Alviando;Best friends;during my stay there I felt happy because accompanied by ferry, he was very kind and gave good service when i was in the pool bar i met with dewi he was very smiling, soft hearted fast response when i needed haunts;5;0;0;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Val F;Nice hotel;Modern, friendly helpful staff, nice food, nice pools. In the heart of Legian, 5 mins walk to beach. Right across the road from reliable money changer, nice spa, and lovely italian restaurant complete with friendly wee cat. Would stay again.;4;0;1;0;0;0;0
Legian Kuta Bali;Merccure Bali Legian;IO Prasetyo;GREAT LOCATION;their location is just near to all the attraction... Was good cause you can go anywhere by walking distance. Room was good as well... Overall, its just stunning... The pool is also beautiful as well..;5;0;1;0;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Sunil.S;Overall very nice and prefer this hotel than any other but disappointed with the WI FI services .;Stayed for almost a month at the Hotel Mercure legian as i was on business visit in Bali this year Feb 2020 . I would really compliment them on having a really wonderful and very friendly and professional staff especially the front desk . Duty manager Ms Kristie was very courteous and sincerely very helpful & accommodating . The hotel was nice and the location also was good.The overall stay was nice but they seriously need to improve on the internet /Wifi services as it was really very bad even though i had changed my room from a really bad signal reception and hoping for a better one .The IT Manager Mr Tagor was very nice and always available for help but probably coundn't have done much due to issue as i figured was due to the outside service provider.;4;0;0;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Bianca;Nice stay;I prefer this hotel than any other hotel in this area. the staff is the real credit and the food is very delicious. they have hidden gem at their restaurant. they have atm in hotel area, easy to access every place.;5;0;1;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Jennifer Y;Spacious room;I stayed here and recently check out. I like the room, especially Family Room. It is so spacious and my kids have their own bed. They just need to put more decorations as a kids room. The cleanliness is perfect and staff is friendly.;5;0;0;1;1;1;0
Legian Kuta Bali;Merccure Bali Legian;Rebecca Smith;Recommended Hotel in Legian area;Staying here on Last December to celebrate New Year with my boyfriend. The hotel is good exactly in the middle of Legain city, it was large and clean room, the staff were very nice and polite. Every morning when we have breakfast there is always one of the staff to check with customers if everything ok with their holiday, nice touch!! My boyfriend was sick and they let me had guava j ce for him, nice!!! There is a nice italian restaurant opposite of the hotel. Overall we hage great experience stay here and def will be back!;5;0;0;1;0;1;0
Legian Kuta Bali;Merccure Bali Legian;578cassc;Good hotel for the price;"If you are after a more reasonably priced hotel in Bali, the Mercure is a good choice. Pool is cool as it ""hangs"", some parts due for an upgrade. Though again for the price, the hotel is really q te good. Breakfast, again was better than expected for the price of the hotel. Ask for a q et room when booking, as the street noise could be q te loud I think in some parts of the hotel. However, I had requested a q et room and the noise really didnt bother us, the balcony doors did seem to block out a lot of noise.";4;1;0;0;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Tinkabell073;Awesome stay;Can’t fault amazing mini stay perfect location, food was the best great buffet breakfast plenty selection, restaurant was good for lunch and dinner we were not unhappy with any of the meals we received. The room was perfect.;5;1;0;0;1;0;0
Legian Kuta Bali;Merccure Bali Legian;kerriew532;a great place to holiday;enjoyed our stay in a room with private pool and gazebo facilities were excellent and the breakfasts were great the staff were all very polite and so happy to tend to your any need the only query we had was that although the room offered tea, coffee and sugar sachets there was no milk in any form;4;0;0;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Taty W;Great place to stay;We really enjoyed this hotel. It has two lovely pools and the staff are so friendly and helpful. Nice big rooms and a great buffet breakfast. We also really enjoyed the dinner buffet on a Wednesday night. It's situated in the middle of a whole lot of restaurants and shops and is only about a 15 minute walk to the beach. It also has ATMs right outside. Our only issue was that we tiny ants in the bathroom each day and the fridge did not keep anything cold in the slightest.;4;0;0;1;1;0;0
Legian Kuta Bali;Merccure Bali Legian;Trail79943;Lovely Hotel;Staff are awesome, friendly and helpful. Location is central for shopping in Garlic Lane and big shopping Malls like Beachwalk. Popular restaurants are nearby and so is the Legian Food Court. It's a short walk to the beach and a nice enjoyable walk to Beachwalk, Matahari, Discovery and Poppies 1 and 11. If you prefer, taxis are easily available. BMC money changers, Circle K and Mini Mart are opposite. Everything you need is close at hand. The rooms are clean, well maintained and toiletries are supplied. So is the tea and coffee making facilities. Buffet breakfast is very well spread out with Indonesian and Western foods. So much to choose from including fr t, salads, cold cuts,cereals, desserts and hot foods. Great amenities and wheelchair friendly too. 2 pools with aqua;5;0;1;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Ali M;Plunge pool;We upgraded our room to pool room. Room is spacious and value for money. Staff is also helpful by helping us woth room movement. Breakfast is splendid and tasty. Try their 4 hands massage, you will not regret it.;5;1;0;1;1;0;0
Legian Kuta Bali;Merccure Bali Legian;Cas;Lovely hotel;Lovely hotel in the heart of everything, im an extreamly light sleeper so asked for a room away from the road which they accomodated, breakfast is yummy, havent tired of it as they mix it up a bit each day, room is clean and spacious, have had a nice time relaxing by the level 4 pool with a few cocktails, had a nice couples massage when we arrived, overall would stay here again.😀;4;0;0;0;1;1;1
Legian Kuta Bali;Merccure Bali Legian;Nugent_Family;Highly recommend this Hotel;From the moment we checked in we were impressed. The location is perfect. A convenience store with ice cold Bintang and money changer right across the road. The Security station is right next to the ATM where you can withdraw $300 Aussie dollars. The staff are lovely and the breakfast each day is amazing. We had both lunches and dinners at the Hotel and every meal was faultless. We had a plunge pool room, the room was very spacious and immaculately clean. The water was a great temperature and very clean. The only downfall was when I turned the aircon off at night we found the room seemed q te damp the next morning. The hour massage was a pleasant surprise after a long day of travelling. We didn’t spend much time in the 2 outdoor pools but friends did and said the temp was great;5;0;1;1;1;0;0
Legian Kuta Bali;Merccure Bali Legian;Ras;Member party;On 6th, I just check in and staff offered me to join party at roof top pool for free because I am a member. I like the party. Full of music and vefy entertaining. The hotel itself is so relaxing and they have good location.;5;0;0;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Jess M;Overall Great Stay;Thoroughly enjoyed my stay at Mercure Legian over Christmas 2019. I had a Balcony room on level 4 which was very clean and spacious. Pros: Room was clean and spacious, flat screen tv, safe and mini fridge available. Wonderful buffet breakfast, plenty of hot and cold options - though choose your timing wisely as you can be waiting for a table sometimes during busy periods. I also ate at the restaurant most nights and found a great selection to choose from, all food was delicious and came out q te fast. Both Pools are a good size, but not very large - generally the families and kids stayed downstairs and adults upstairs (some kid still come upstairs) though get in early in the morning to get a lounge bed in busy periods. Day Spa is well serviced, with 4-5 treatment rooms. I;4;0;0;0;1;1;0
Legian Kuta Bali;Merccure Bali Legian;Christine J;Doesn’t disappoint;We stayed at this hotel last year so thought we’d try another Mecure in Bali at Kuta for a change - big mistake! We should have gone back to this one. After 3 days at the Mecure in Kuta, we cut our losses and moved to Mecure Legian. We had a balcony room overlooking the pool. The balcony had 2 chairs, table and a drying rack. The room was clean and comfortable, the bed comfortable, and the bathroom was well appointed with a nice hot shower. The staff extremely helpful and friendly, the breakfasts were fabulous, the pool area lovely, with shady trees. Highly recommend this hotel.;4;0;0;1;1;0;0
Legian Kuta Bali;Merccure Bali Legian;Globe_Traveler;Pretty good stay at Mercure Bali Legian;Had a pleasant stay here at Mercure Bali Legian. As per Gold status, we were upgraded to a s te which was nice! Melissa, the guest relation manager was very kind and accommodating to our requests and took good care of us. We had a small hiccup in our room due to poor ventilation however that was q ckly rectified. Breakfast at the hotel was up to standard of Mercure. Location was good as it was at an intersection. Walk to beach is 5-8 mibs walk away. There are 2 swimming pools located at the hotel. Overall, our stay was pleasant and for the price point, it was well worth.;5;0;1;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Michelle;Amazing service;"Really nice resort, good central location and close to everything, but still q et. Staff were incredibly friendly, professional and helpful; we have never stayed in a more friendly resort. The meals were amazing and great value. Would definitely stay there again!";5;0;1;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;rachelwah2020;Mercure Bali Legian;Our recent stay at the Mercure Bali Legian has been great, employees are courteous, warmth and q ck to come to your service, hotel is nice and located at a strategic location with easy access to shops and food, we really enjoy the stay! thank you !;5;0;1;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Letitia;Enjoyable Stay;I spent two weeks at the Mercure Legian and loved my stay, staff were great friendly and accommodating. There is two pools in the complex one on the ground level and one on the top level. There is food options by both pools and staff in both areas for drink orders by the pool. The restaurant food was enjoyable. Our room was tidy and modern and just enough room for my friend and I. The location is good to get to shops the beach and surrounding areas.;5;0;1;1;1;0;0
