travelCode,User_ID,Car_rented,review_car,review_hotel,review_flights,flight_rating,hotel_rating,car_rating,overall_rating
109,2,Not Rented,null,The concierge was super helpful in arranging local tours and dinner reservations.,"The flight was overcrowded, and I was unable to get enough rest.The flight was fine, but nothing really stood out about the experience.",2,2,0,2
110,2,Not Rented,null,"The room was fine, but it didn’t quite match the pictures on the website.",The plane was clean and well-maintained. The staff was friendly throughout the flight.,2,2,0,2
112,2,Not Rented,null,"Stayed for one night; everything was fine, but nothing really stood out.","The food was below average, and there were no special meal options available.",3,2,0,2.5
116,2,Not Rented,null,"Fast and free Wi-Fi, perfect for both business and leisure travelers.","My flight was canceled, and I had to rebook. Customer service was helpful, though.",2,2,0,2
117,2,Confirmed,They charged me for a scratch that was already there! Be careful!,Loved the location—right in the heart of the city with easy access to attractions.,"There was no Wi-Fi on the flight, and the entertainment options were limited.",2,2,2,2
119,2,Confirmed,Needed better signage at the rental location. Spent 15 minutes looking for it.,"Fast and free Wi-Fi, perfect for both business and leisure travelers.","The cabin was comfortable, but the food could have been better.",2,2,2,2
122,2,Not Rented,null,"There were minor maintenance issues, but they were resolved quickly.","The check-in process was slow, and the staff seemed disorganized.",2,2,0,2
124,2,Not Rented,null,The rooftop pool was a highlight of our trip—such a relaxing experience!,"The airline lost my luggage, and it took several days to get it back.",2,2,0,2
125,2,Not Rented,null,"Booked a king-size bed, but they gave me two single beds pushed together!",Very comfortable flight with ample legroom. The entertainment options were good too.,2,2,0,2
135,2,Not Rented,null,The Wi-Fi was so slow that I couldn’t even send an email!,"The food was below average, and there were no special meal options available.",3,2,0,2.5
137,2,Not Rented,null,"Air conditioning worked well, but it was a little noisy at night.","The food was below average, and there were no special meal options available.",3,2,0,2.5
150,2,Not Rented,null,"Elevator was out of service, and I had to carry my bags up six flights of stairs!",Very comfortable flight with ample legroom. The entertainment options were good too.,2,2,0,2
153,2,Cancelled,Got an upgrade to a luxury car for free. Best rental experience ever!,"Air conditioning worked well, but it was a little noisy at night.","The flight was smooth, and the staff was extremely helpful and friendly.",5,2,2,3
156,2,Not Rented,null,Fantastic breakfast buffet with a wide variety of delicious options!,"The service was okay, but I expected a bit more for the price.",3,2,0,2.5
160,2,Not Rented,null,"Elevator was out of service, and I had to carry my bags up six flights of stairs!","The airline lost my luggage, and it took several days to get it back.",2,2,0,2
165,2,Not Rented,null,The concierge was super helpful in arranging local tours and dinner reservations.,"The service was okay, but I expected a bit more for the price.",3,2,0,2.5
177,2,Not Rented,null,"Booked a non-smoking room, but it reeked of cigarette smoke!","The flight was on time, and the crew was polite, but overall it was just okay.",3,2,0,2.5
180,2,Not Rented,null,"Air conditioning worked well, but it was a little noisy at night.","I had no issues with the flight. It was comfortable, and the staff was nice.",2,2,0,2
187,2,Not Rented,null,Staff was rude and unhelpful when I asked for extra towels.,"The flight was a little bumpy, but overall, it was a pleasant experience.",2,2,0,2
188,2,Not Rented,null,I found bugs in my bed! Absolutely disgusting and unacceptable.,"The flight was uneventful, but the overall experience was just average.",3,2,0,2.5
189,2,Not Rented,null,Spacious and luxurious rooms with top-notch amenities. Highly recommended!,"The flight went smoothly, but I wasn’t overly impressed with the service.",5,5,0,5
192,2,Not Rented,null,Extremely comfortable beds—best sleep I’ve had in a long time!,"There was no Wi-Fi on the flight, and the entertainment options were limited.",2,2,0,2
197,2,Not Rented,null,The staff went above and beyond to make our stay memorable. Will definitely return!,"The check-in process was slow, and the staff seemed disorganized.",2,2,0,2
201,2,Not Rented,null,"Stayed for one night; everything was fine, but nothing really stood out.","Had a smooth flight with no delays, and the food was surprisingly good.",5,2,0,3.5
205,2,Not Rented,null,Extremely comfortable beds—best sleep I’ve had in a long time!,"There was no Wi-Fi on the flight, and the entertainment options were limited.",2,2,0,2
211,2,Not Rented,null,The gym was small but had the basic equipment I needed for a workout.,"The crew was very professional, and the flight was very smooth. Would fly again.",5,2,0,3.5
213,2,Not Rented,null,Breakfast selection was decent but could use more variety.,"It was a standard flight. Nothing wrong, but nothing exceptional either.",2,3,0,2.5
214,2,Not Rented,null,I found bugs in my bed! Absolutely disgusting and unacceptable.,"The flight attendants were rude, and the flight was uncomfortable.",2,2,0,2
219,2,Not Rented,null,Great value for money! Got a five-star experience at a reasonable price.,"The airline met my expectations, but it wasn’t a memorable experience.",2,5,0,3.5
221,2,Not Rented,null,The concierge was super helpful in arranging local tours and dinner reservations.,The flight was on time and the staff was very courteous. Excellent experience!,5,2,0,3.5
224,2,Not Rented,null,"Room service took over an hour, and the food was cold by the time it arrived.","The cabin was dirty, and the bathrooms were not properly maintained.",1,2,0,1.5
225,2,Not Rented,null,"The hotel had a beautiful garden and outdoor seating area, perfect for unwinding.","The flight was uneventful, but the overall experience was just average.",3,2,0,2.5
233,3,Not Rented,null,"The room smelled musty, and the bathroom had mold in the corners!","The cabin was dirty, and the bathrooms were not properly maintained.",1,2,0,1.5
235,3,Not Rented,null,"There were minor maintenance issues, but they were resolved quickly.","The crew was very professional, and the flight was very smooth. Would fly again.",5,2,0,3.5
238,3,Not Rented,null,The hotel photos were misleading—nothing looked as good in real life.,"The airline met my expectations, but it wasn’t a memorable experience.",2,2,0,2
239,3,Not Rented,null,The rooftop pool was a highlight of our trip—such a relaxing experience!,"It was a standard flight. Nothing wrong, but nothing exceptional either.",2,2,0,2
240,3,Not Rented,null,"Service was okay, but I expected a bit more from a hotel of this rating.","The flight was a little bumpy, but overall, it was a pleasant experience.",2,3,0,2.5
241,3,Not Rented,null,"The room smelled musty, and the bathroom had mold in the corners!",Comfortable seats and good in-flight entertainment. Highly recommend this airline.,2,2,0,2
243,3,Not Rented,null,"Decent stay, but nothing extraordinary. The hotel met expectations.","The flight was delayed, and there were no updates, which was frustrating.",2,3,0,2.5
244,3,Not Rented,null,"The room smelled musty, and the bathroom had mold in the corners!","The entertainment was decent, but I didn’t find anything to really enjoy.",3,2,0,2.5
246,3,Not Rented,null,The staff went above and beyond to make our stay memorable. Will definitely return!,"The flight was on time, and the crew was polite, but overall it was just okay.",3,2,0,2.5
248,3,Not Rented,null,Great value for money! Got a five-star experience at a reasonable price.,"The flight was delayed for hours, and there was no apology or compensation.",2,5,0,3.5
255,3,Cancelled,"Had to wait a little at the counter, but the car itself was good.","Booked a non-smoking room, but it reeked of cigarette smoke!","The cabin was comfortable, but the food could have been better.",2,2,2,2
259,3,Not Rented,null,"The view from my room was blocked, which was disappointing but not a dealbreaker.","I had no issues with the flight. It was comfortable, and the staff was nice.",2,2,0,2
263,3,Not Rented,null,"The air conditioning barely worked, and it was too hot to sleep comfortably.","The airline lost my luggage, and it took several days to get it back.",2,2,0,2
269,3,Not Rented,null,"The worst hotel stay ever! The room was dirty, and the sheets had stains.",Very comfortable flight with ample legroom. The entertainment options were good too.,2,1,0,1.5
275,3,Not Rented,null,"Terrible experience! The room was not clean, and the service was very slow.","The flight attendants were rude, and the flight was uncomfortable.",2,1,0,1.5
279,3,Not Rented,null,"Stayed for one night; everything was fine, but nothing really stood out.",The cabin crew was very attentive and made sure all our needs were met.,2,2,0,2
283,3,Pending,"No hidden fees, just a simple and straightforward experience. Would rent again!","The room was fine, but it didn’t quite match the pictures on the website.","I had no complaints, but the flight didn’t offer anything exceptional.",2,2,2,2
287,3,Not Rented,null,"The view from my room was blocked, which was disappointing but not a dealbreaker.","The check-in process was slow, and the staff seemed disorganized.",2,2,0,2
290,3,Not Rented,null,"The room smelled musty, and the bathroom had mold in the corners!","I was impressed with the punctuality and the level of service throughout the flight.The food was awful, and the seats were uncomfortable. Not a great experience.",5,2,0,3.5
291,3,Not Rented,null,Extremely comfortable beds—best sleep I’ve had in a long time!,"There was no Wi-Fi on the flight, and the entertainment options were limited.",2,2,0,2
295,3,Not Rented,null,Fantastic breakfast buffet with a wide variety of delicious options!,"The food was below average, and there were no special meal options available.",3,2,0,2.5
296,3,Not Rented,null,"The bathroom drain was clogged, and water pooled up every time I showered.",Excellent in-flight experience with a wide selection of movies and shows.,5,2,0,3.5
299,3,Not Rented,null,Spacious and luxurious rooms with top-notch amenities. Highly recommended!,"I had no complaints, but the flight didn’t offer anything exceptional.",2,5,0,3.5
300,3,Not Rented,null,"Fast and free Wi-Fi, perfect for both business and leisure travelers.","The flight was delayed, and there were no updates, which was frustrating.",2,2,0,2
303,3,Not Rented,null,"The room smelled musty, and the bathroom had mold in the corners!","The food was below average, and there were no special meal options available.",3,2,0,2.5
305,3,Cancelled,They charged me for a scratch that was already there! Be careful!,"Decent stay, but nothing extraordinary. The hotel met expectations.",Comfortable seats and good in-flight entertainment. Highly recommend this airline.,2,3,2,2.333333333
306,3,Not Rented,null,"Elevator was out of service, and I had to carry my bags up six flights of stairs!","Had a smooth flight with no delays, and the food was surprisingly good.",5,2,0,3.5
307,3,Not Rented,null,The hotel restaurant was average—good food but a bit overpriced.,"The flight was overcrowded, and I was unable to get enough rest.The flight was fine, but nothing really stood out about the experience.",2,3,0,2.5
311,3,Not Rented,null,Paper-thin walls—I could hear everything from the neighboring rooms.,"The legroom was a bit tight, but everything else was great. I would fly again.",5,2,0,3.5
315,3,Not Rented,null,"Fast and free Wi-Fi, perfect for both business and leisure travelers.","The legroom was a bit tight, but everything else was great. I would fly again.",5,2,0,3.5
322,3,Not Rented,null,Great value for money! Got a five-star experience at a reasonable price.,"There was no Wi-Fi on the flight, and the entertainment options were limited.",2,5,0,3.5
325,3,Not Rented,null,"The hotel overbooked, and we had to wait hours for an available room.","I had no complaints, but the flight didn’t offer anything exceptional.",2,2,0,2
337,3,Not Rented,null,The hotel restaurant was average—good food but a bit overpriced.,"My flight was canceled, and I had to rebook. Customer service was helpful, though.",2,3,0,2.5
338,3,Confirmed,The car was dirty when I picked it up. Clearly not cleaned properly.,"There were minor maintenance issues, but they were resolved quickly.","The flight was delayed, and there were no updates, which was frustrating.",2,2,1,1.666666667
347,3,Not Rented,null,"The room smelled musty, and the bathroom had mold in the corners!","The flight was on time, and the crew was polite, but overall it was just okay.",3,2,0,2.5
350,3,Not Rented,null,"The check-in process was smooth, and the hotel offered a complimentary room upgrade!","The flight was overcrowded, and I was unable to get enough rest.The flight was fine, but nothing really stood out about the experience.",2,5,0,3.5
363,3,Not Rented,null,Spacious and luxurious rooms with top-notch amenities. Highly recommended!,The plane was clean and well-maintained. The staff was friendly throughout the flight.,2,5,0,3.5
369,3,Not Rented,null,"Air conditioning worked well, but it was a little noisy at night.","The service was okay, but I expected a bit more for the price.",3,2,0,2.5
373,3,Not Rented,null,Great value for money! Got a five-star experience at a reasonable price.,"Great service! The check-in process was smooth, and the flight was very relaxing.",5,5,0,5
377,3,Not Rented,null,Loved the little touches like welcome drinks and personalized notes in the room.,"The flight was on time, and the crew was polite, but overall it was just okay.",3,2,0,2.5
382,3,Not Rented,null,"Elevator was out of service, and I had to carry my bags up six flights of stairs!","I had no complaints, but the flight didn’t offer anything exceptional.",2,2,0,2
383,3,Not Rented,null,"Fast and free Wi-Fi, perfect for both business and leisure travelers.","The flight was uneventful, but the overall experience was just average.",3,2,0,2.5
385,3,Confirmed,"Had to wait a little at the counter, but the car itself was good.",Staff was rude and unhelpful when I asked for extra towels.,"The boarding process was a bit slow, but other than that, the flight was fine.",2,2,2,2
387,3,Confirmed,The A/C wasn’t working in 40°C heat. Absolute nightmare.,The gym was small but had the basic equipment I needed for a workout.,"The crew was professional, but the flight felt standard and routine.",2,2,2,2
388,3,Not Rented,null,"The worst hotel stay ever! The room was dirty, and the sheets had stains.","The flight was delayed, and there were no updates, which was frustrating.",2,1,0,1.5
394,3,Not Rented,null,"The amenities were decent, but the hotel lacked a cozy, welcoming vibe.","The seats were cramped, and the flight was uncomfortable from start to finish.",2,3,0,2.5
397,3,Not Rented,null,I found bugs in my bed! Absolutely disgusting and unacceptable.,"I was impressed with the punctuality and the level of service throughout the flight.The food was awful, and the seats were uncomfortable. Not a great experience.",5,2,0,3.5
398,3,Not Rented,null,Spacious and luxurious rooms with top-notch amenities. Highly recommended!,"The flight was delayed, but the crew kept us informed and made sure we were comfortable.",2,5,0,3.5
403,3,Not Rented,null,"Booked a non-smoking room, but it reeked of cigarette smoke!","My flight was canceled, and I had to rebook. Customer service was helpful, though.",2,2,0,2
404,3,Not Rented,null,"The location was convenient, but the surroundings were a bit noisy.","The seats were cramped, and the flight was uncomfortable from start to finish.",2,2,0,2
406,3,Not Rented,null,"There were minor maintenance issues, but they were resolved quickly.","The boarding process was a bit slow, but other than that, the flight was fine.",2,2,0,2
408,3,Not Rented,null,Paper-thin walls—I could hear everything from the neighboring rooms.,"The airline lost my luggage, and it took several days to get it back.",2,2,0,2
409,3,Not Rented,null,The hotel restaurant was average—good food but a bit overpriced.,"The crew was professional, but the flight felt standard and routine.",2,3,0,2.5
410,3,Not Rented,null,"Fast and free Wi-Fi, perfect for both business and leisure travelers.","The cabin was dirty, and the bathrooms were not properly maintained.",1,2,0,1.5
412,3,Not Rented,null,"The hotel overbooked, and we had to wait hours for an available room.","It was a standard flight. Nothing wrong, but nothing exceptional either.",2,2,0,2
415,3,Not Rented,null,Extremely comfortable beds—best sleep I’ve had in a long time!,Comfortable seats and good in-flight entertainment. Highly recommend this airline.,2,2,0,2
417,3,Not Rented,null,Great value for money! Got a five-star experience at a reasonable price.,"The check-in process was slow, and the staff seemed disorganized.",2,5,0,3.5
418,3,Not Rented,null,"Rooms were well-maintained, and housekeeping did a great job every day.","The flight was delayed for hours, and there was no apology or compensation.",2,5,0,3.5
419,3,Not Rented,null,Great value for money! Got a five-star experience at a reasonable price.,"The cabin was dirty, and the bathrooms were not properly maintained.",1,5,0,3
424,3,Not Rented,null,The staff went above and beyond to make our stay memorable. Will definitely return!,"The crew was professional, but the flight felt standard and routine.",2,2,0,2
426,4,Not Rented,null,Extremely comfortable beds—best sleep I’ve had in a long time!,"The flight was comfortable, but I didn’t find it memorable in any way.",2,2,0,2
431,4,Not Rented,null,"The bathroom drain was clogged, and water pooled up every time I showered.","The legroom was a bit tight, but everything else was great. I would fly again.",5,2,0,3.5
432,4,Not Rented,null,"Booked a king-size bed, but they gave me two single beds pushed together!","The legroom was adequate, but the overall experience didn’t wow me.",2,2,0,2
440,4,Not Rented,null,"The hotel was clean, but I felt like the decor was a little outdated.","The flight was delayed for hours, and there was no apology or compensation.",2,2,0,2
442,4,Not Rented,null,"The hotel overbooked, and we had to wait hours for an available room.",The cabin crew was very attentive and made sure all our needs were met.,2,2,0,2
445,4,Not Rented,null,The hotel photos were misleading—nothing looked as good in real life.,"The food was below average, and there were no special meal options available.",3,2,0,2.5
447,4,Not Rented,null,"The location was convenient, but the surroundings were a bit noisy.","The entertainment was decent, but I didn’t find anything to really enjoy.",3,2,0,2.5
450,4,Not Rented,null,"The amenities were decent, but the hotel lacked a cozy, welcoming vibe.","The crew was very professional, and the flight was very smooth. Would fly again.",5,3,0,4
452,4,Not Rented,null,Extremely comfortable beds—best sleep I’ve had in a long time!,"Had a smooth flight with no delays, and the food was surprisingly good.",5,2,0,3.5
456,4,Not Rented,null,"The hotel had a beautiful garden and outdoor seating area, perfect for unwinding.","The flight attendants were rude, and the flight was uncomfortable.",2,2,0,2
457,4,Not Rented,null,The Wi-Fi was so slow that I couldn’t even send an email!,"The flight was delayed for hours, and there was no apology or compensation.",2,2,0,2
468,4,Not Rented,null,"Elevator was out of service, and I had to carry my bags up six flights of stairs!","The flight was a little bumpy, but overall, it was a pleasant experience.",2,2,0,2
473,4,Not Rented,null,"Rooms were well-maintained, and housekeeping did a great job every day.",Comfortable seats and good in-flight entertainment. Highly recommend this airline.,2,5,0,3.5
481,4,Not Rented,null,"Decent stay, but nothing extraordinary. The hotel met expectations.","The flight was delayed for hours, and there was no apology or compensation.",2,3,0,2.5
486,4,Not Rented,null,"The hotel was clean, but I felt like the decor was a little outdated.","The entertainment was decent, but I didn’t find anything to really enjoy.",3,2,0,2.5
490,4,Not Rented,null,"Booked a king-size bed, but they gave me two single beds pushed together!","I didn’t experience any issues, but it wasn’t a standout flight either.",2,2,0,2
491,4,Not Rented,null,"Check-in took longer than expected, but the staff was polite.","The flight was delayed, and there were no updates, which was frustrating.",2,2,0,2
494,4,Not Rented,null,The hotel photos were misleading—nothing looked as good in real life.,The flight was on time and the staff was very courteous. Excellent experience!,5,2,0,3.5
498,4,Not Rented,null,"Booked a king-size bed, but they gave me two single beds pushed together!","The flight was delayed, and there were no updates, which was frustrating.",2,2,0,2
500,4,Not Rented,null,"The bathroom drain was clogged, and water pooled up every time I showered.","The crew was very professional, and the flight was very smooth. Would fly again.",5,2,0,3.5
501,4,Not Rented,null,Spacious and luxurious rooms with top-notch amenities. Highly recommended!,"The food was below average, and there were no special meal options available.",3,5,0,4
503,4,Not Rented,null,"The hotel was absolutely stunning! Clean rooms, excellent service, and a breathtaking view.","The service was okay, but I expected a bit more for the price.",3,5,0,4
505,4,Not Rented,null,The gym was small but had the basic equipment I needed for a workout.,"There was no Wi-Fi on the flight, and the entertainment options were limited.",2,2,0,2
514,4,Not Rented,null,I found bugs in my bed! Absolutely disgusting and unacceptable.,"I was impressed with the punctuality and the level of service throughout the flight.The food was awful, and the seats were uncomfortable. Not a great experience.",5,2,0,3.5
517,4,Cancelled,"The car was fine, nothing fancy, but it did the job for my trip.","The hotel had a beautiful garden and outdoor seating area, perfect for unwinding.",Excellent in-flight experience with a wide selection of movies and shows.,5,2,2,3
529,4,Not Rented,null,"There were minor maintenance issues, but they were resolved quickly.","There was no Wi-Fi on the flight, and the entertainment options were limited.",2,2,0,2
532,4,Not Rented,null,Spacious and luxurious rooms with top-notch amenities. Highly recommended!,Excellent in-flight experience with a wide selection of movies and shows.,5,5,0,5
537,4,Not Rented,null,"There were minor maintenance issues, but they were resolved quickly.",Comfortable seats and good in-flight entertainment. Highly recommend this airline.,2,2,0,2
541,4,Not Rented,null,"The hotel was clean, but I felt like the decor was a little outdated.",The flight was on time and the staff was very courteous. Excellent experience!,5,2,0,3.5
543,4,Not Rented,null,The gym was small but had the basic equipment I needed for a workout.,"The cabin was comfortable, but the food could have been better.",2,2,0,2
545,4,Pending,Smooth online booking process. Got my car within 10 minutes at the airport!,"The bathroom drain was clogged, and water pooled up every time I showered.","I was impressed with the punctuality and the level of service throughout the flight.The food was awful, and the seats were uncomfortable. Not a great experience.",5,2,5,4
548,4,Pending,The car smelled like smoke even though it was supposed to be non-smoking.,Breakfast selection was decent but could use more variety.,"I had to wait too long for boarding, and the staff was not helpful.",2,3,2,2.333333333
555,4,Not Rented,null,"Booked a king-size bed, but they gave me two single beds pushed together!","The entertainment was decent, but I didn’t find anything to really enjoy.",3,2,0,2.5
556,4,Not Rented,null,"The view from my room was blocked, which was disappointing but not a dealbreaker.","The legroom was adequate, but the overall experience didn’t wow me.",2,2,0,2
557,4,Not Rented,null,"The amenities were decent, but the hotel lacked a cozy, welcoming vibe.","I had no issues with the flight. It was comfortable, and the staff was nice.",2,3,0,2.5
559,4,Not Rented,null,"The amenities were decent, but the hotel lacked a cozy, welcoming vibe.","The seats were cramped, and the flight was uncomfortable from start to finish.",2,3,0,2.5
562,4,Confirmed,"It wasn’t the model I originally booked, but it worked out fine.","The bathroom drain was clogged, and water pooled up every time I showered.","The legroom was adequate, but the overall experience didn’t wow me.",2,2,2,2
564,4,Not Rented,null,"Booked a king-size bed, but they gave me two single beds pushed together!","The flight was delayed, and there were no updates, which was frustrating.",2,2,0,2
565,4,Pending,"Reasonable rates, but their fuel policy could be more transparent.","Terrible experience! The room was not clean, and the service was very slow.","Had a smooth flight with no delays, and the food was surprisingly good.",5,1,2,2.666666667
574,4,Not Rented,null,"The location was convenient, but the surroundings were a bit noisy.","The entertainment system was outdated, and the flight was not as comfortable as expected.",2,2,0,2
578,4,Not Rented,null,"Booked a non-smoking room, but it reeked of cigarette smoke!","The flight was delayed for hours, and there was no apology or compensation.",2,2,0,2
581,4,Not Rented,null,Staff was rude and unhelpful when I asked for extra towels.,"The entertainment system was outdated, and the flight was not as comfortable as expected.",2,2,0,2
582,4,Not Rented,null,"Room service took over an hour, and the food was cold by the time it arrived.","The legroom was adequate, but the overall experience didn’t wow me.",2,2,0,2
586,4,Not Rented,null,"Room service took over an hour, and the food was cold by the time it arrived.","The flight was comfortable, but I didn’t find it memorable in any way.",2,2,0,2
587,4,Not Rented,null,The gym was small but had the basic equipment I needed for a workout.,"The food was below average, and there were no special meal options available.",3,2,0,2.5
588,4,Not Rented,null,"Stayed for one night; everything was fine, but nothing really stood out.","The flight was smooth, and the staff was extremely helpful and friendly.",5,2,0,3.5
590,4,Not Rented,null,Staff was rude and unhelpful when I asked for extra towels.,"The flight was on time, and the crew was polite, but overall it was just okay.",3,2,0,2.5
591,4,Pending,They charged me for a scratch that was already there! Be careful!,"The hotel was absolutely stunning! Clean rooms, excellent service, and a breathtaking view.","The flight attendants were rude, and the flight was uncomfortable.",2,5,2,3
596,4,Not Rented,null,"Booked a non-smoking room, but it reeked of cigarette smoke!","The legroom was a bit tight, but everything else was great. I would fly again.",5,2,0,3.5
598,4,Not Rented,null,Breakfast selection was decent but could use more variety.,"The service was okay, but I expected a bit more for the price.",3,3,0,3
604,4,Not Rented,null,The staff went above and beyond to make our stay memorable. Will definitely return!,"The check-in process was slow, and the staff seemed disorganized.",2,2,0,2
605,4,Not Rented,null,Breakfast selection was decent but could use more variety.,"The flight was a little bumpy, but overall, it was a pleasant experience.",2,3,0,2.5
609,4,Confirmed,"It wasn’t the model I originally booked, but it worked out fine.","The hotel had a beautiful garden and outdoor seating area, perfect for unwinding.","There was no Wi-Fi on the flight, and the entertainment options were limited.",2,2,2,2
619,4,Not Rented,null,"Stayed for one night; everything was fine, but nothing really stood out.","I had no complaints, but the flight didn’t offer anything exceptional.",2,2,0,2
621,4,Not Rented,null,Fantastic breakfast buffet with a wide variety of delicious options!,The plane was clean and well-maintained. The staff was friendly throughout the flight.,2,2,0,2
623,4,Not Rented,null,"Rooms were well-maintained, and housekeeping did a great job every day.","Long flight, but the in-flight amenities made the journey more enjoyable.",2,5,0,3.5
624,5,Not Rented,null,"Service was okay, but I expected a bit more from a hotel of this rating.","I didn’t experience any issues, but it wasn’t a standout flight either.",2,3,0,2.5
638,5,Not Rented,null,"The view from my room was blocked, which was disappointing but not a dealbreaker.","The flight was comfortable, but I didn’t find it memorable in any way.",2,2,0,2
643,5,Not Rented,null,"The staff was helpful, but service could have been a bit faster.","The flight was delayed, but the crew kept us informed and made sure we were comfortable.",2,2,0,2
644,5,Not Rented,null,"Check-in took longer than expected, but the staff was polite.",Comfortable seats and good in-flight entertainment. Highly recommend this airline.,2,2,0,2
646,5,Not Rented,null,Breakfast selection was decent but could use more variety.,"Had a smooth flight with no delays, and the food was surprisingly good.",5,3,0,4
648,5,Not Rented,null,"The hotel was clean, but I felt like the decor was a little outdated.",The plane was clean and well-maintained. The staff was friendly throughout the flight.,2,2,0,2
