air_booking_id,pax_id,flight_number,departure_city,arrival_city,departure_date,return_date,seat_class,booking_status,payment_method,transaction_amount
AB00063,PAX00063,FL314,East Calebport,South Daniellemouth,16/07/2023,15/08/2025,First Class,Canceled,PayPal,745.34
AB00064,PAX00064,FL857,Richardbury,Jessicaview,04/11/2023,27/12/2023,Business,Canceled,PayPal,1409.87
AB00065,PAX00065,FL148,Cookfurt,Schmidtburgh,30/07/2024,22/09/2025,Business,Confirmed,Net Banking,168.77
AB00066,PAX00066,FL270,East James,New Josephland,02/04/2023,07/04/2025,Economy,Canceled,PayPal,1414.31
AB00067,PAX00067,FL435,Fosterland,Meaganfurt,02/03/2023,30/06/2025,Economy,No-Show,PayPal,905.2
AB00068,PAX00068,FL651,Bethchester,Sheltonview,29/04/2024,29/01/2025,First Class,Confirmed,Net Banking,1286.79
AB00069,PAX00069,FL449,South Stevenport,Port Stevenburgh,21/10/2024,19/11/2024,First Class,Canceled,Credit Card,1347.01
AB00070,PAX00070,FL861,Lake Laura,Angelaland,19/11/2023,22/12/2023,Economy,Pending,Net Banking,1230.12
AB00071,PAX00071,FL403,New Dennisborough,North Kathyberg,19/02/2023,26/08/2025,Business,Canceled,Credit Card,184.82
AB00072,PAX00072,FL655,Gardnerview,Watsonfort,13/01/2024,28/01/2026,Economy,No-Show,PayPal,1097.25
AB00073,PAX00073,FL180,Hollowayland,New Chloehaven,06/07/2023,10/11/2025,Economy,No-Show,Net Banking,836.42
AB00074,PAX00074,FL847,West Danafurt,Fostershire,17/03/2023,26/11/2025,Business,Confirmed,UPI,663.53
AB00075,PAX00075,FL915,Lake Samuelbury,Garrettshire,23/01/2025,08/03/2025,Business,No-Show,Credit Card,177.87
AB00076,PAX00076,FL582,South Gabriel,Abigailfurt,19/12/2024,20/12/2024,First Class,No-Show,UPI,219.31
AB00077,PAX00077,FL553,North Nicholas,Lindatown,23/10/2024,23/10/2025,Business,No-Show,Credit Card,385.94
AB00078,PAX00078,FL328,East Mary,New Stephaniemouth,03/03/2024,13/03/2024,First Class,No-Show,UPI,1324.88
AB00079,PAX00079,FL708,Rosston,Jessicashire,04/05/2023,02/06/2023,First Class,Canceled,PayPal,344.14
AB00080,PAX00080,FL458,Harrystad,West Jon,11/07/2024,15/05/2025,Economy,Canceled,Credit Card,891.7
AB00081,PAX00081,FL967,Georgeberg,Dominicberg,15/09/2024,12/01/2026,Economy,Confirmed,Credit Card,295.98
AB00082,PAX00082,FL519,North Amandahaven,Lake Staceyshire,24/01/2024,06/11/2025,Business,Pending,UPI,281.64
AB00083,PAX00083,FL490,Port Debbie,Scottburgh,12/09/2023,10/09/2025,First Class,Confirmed,UPI,630.57
AB00084,PAX00084,FL295,Port Lindsey,West Mary,17/11/2024,28/10/2025,Business,Confirmed,UPI,446.79
AB00085,PAX00085,FL879,Lake Brittany,New Johnhaven,04/08/2024,13/08/2024,Business,Pending,UPI,684.22
AB00086,PAX00086,FL840,Port Megantown,Port Brooke,15/09/2023,13/04/2025,Economy,Pending,PayPal,1137.3
AB00087,PAX00087,FL345,Hernandezshire,Port Brendastad,11/04/2024,09/03/2025,Economy,Canceled,Net Banking,1109.58
AB00088,PAX00088,FL594,Port Elizabeth,New Kelly,21/07/2023,13/10/2025,Economy,Canceled,PayPal,1216.92
AB00089,PAX00089,FL883,West Tiffanymouth,Lake Brianville,20/03/2024,07/12/2025,Business,Canceled,PayPal,701.1
AB00090,PAX00090,FL628,Wattstown,Pittmanmouth,06/03/2024,22/03/2024,Economy,Confirmed,Net Banking,442.94
AB00091,PAX00091,FL785,Christopherberg,Joshuaside,04/07/2024,08/07/2024,Business,Pending,Credit Card,348.58
AB00092,PAX00092,FL530,Marshallport,East Melissaberg,05/09/2023,08/10/2023,Economy,Pending,UPI,211.01
AB00093,PAX00093,FL641,West Katrina,Rachaelberg,05/10/2023,12/02/2025,Business,No-Show,Credit Card,844.86
AB00094,PAX00094,FL458,Madisonburgh,Williamsville,24/07/2023,28/10/2025,First Class,Canceled,Net Banking,544.24
AB00095,PAX00095,FL795,Tonybury,Cervantesmouth,21/05/2023,12/11/2025,Economy,Canceled,Credit Card,1396.82
AB00096,PAX00096,FL605,Lake James,South Amy,19/10/2024,10/11/2024,Economy,Pending,UPI,254.2
AB00097,PAX00097,FL541,Dawnton,East Shelleyshire,07/05/2023,17/05/2023,First Class,Canceled,Credit Card,462.61
AB00098,PAX00098,FL698,East Maryfurt,Youngside,01/07/2023,03/07/2023,Business,Canceled,Credit Card,1199.42
AB00099,PAX00099,FL947,Lake Pamelamouth,East Linda,31/12/2024,22/01/2025,Business,Canceled,Net Banking,651.96
AB00100,PAX00100,FL351,Grahamberg,Cynthiafurt,23/06/2023,11/12/2025,Business,Canceled,PayPal,854.3
AB00101,PAX00101,FL602,South Christophershire,New Kevin,24/05/2024,01/10/2025,Business,Confirmed,Credit Card,484.31
AB00102,PAX00102,FL403,Cookshire,Guzmanmouth,15/01/2024,23/09/2025,First Class,No-Show,Credit Card,801.68
AB00103,PAX00103,FL543,West Brandyland,Blackberg,16/12/2024,29/01/2025,Business,Pending,Credit Card,305.98
AB00104,PAX00104,FL319,South Jasmine,East Michael,28/10/2024,01/11/2025,First Class,Confirmed,PayPal,1135.53
AB00105,PAX00105,FL387,Christinestad,New Christine,05/06/2024,01/08/2024,First Class,No-Show,PayPal,1392.56
AB00106,PAX00106,FL429,Ortegaland,Clarkfort,15/07/2024,10/08/2024,Business,Confirmed,UPI,537.45
AB00107,PAX00107,FL855,Jadeside,Lake Michaelchester,06/11/2023,19/12/2023,First Class,No-Show,Credit Card,1022.83
AB00108,PAX00108,FL206,Allenburgh,Christopherburgh,29/09/2023,24/11/2023,Economy,Pending,Net Banking,904.3
AB00109,PAX00109,FL995,Port Kristieview,West Roger,08/01/2024,07/10/2025,First Class,Confirmed,PayPal,377.93
AB00110,PAX00110,FL169,Lake Johnburgh,Lake Brent,26/12/2023,05/10/2025,Business,Canceled,Credit Card,1147.64
AB00111,PAX00111,FL143,Mariahland,South Bethany,02/10/2023,07/06/2025,Business,No-Show,Net Banking,381.46
AB00112,PAX00112,FL342,Laurenport,Stanleyview,22/02/2023,01/03/2023,Business,Pending,Net Banking,162.58
AB00113,PAX00113,FL154,Lake Heather,Kristyland,31/08/2023,17/10/2023,First Class,Pending,Net Banking,1085.63
AB00114,PAX00114,FL421,Feliciahaven,South Paul,12/06/2023,12/07/2023,Economy,Confirmed,Credit Card,1123.98
AB00115,PAX00115,FL208,Fryeshire,Annechester,23/04/2024,13/07/2025,First Class,Canceled,Credit Card,767.97
AB00116,PAX00116,FL155,Lake Heatherville,Matthewland,14/02/2023,16/12/2025,First Class,Confirmed,Credit Card,1227.17
AB00117,PAX00117,FL290,Lake Sethhaven,Royburgh,01/08/2023,13/09/2023,First Class,No-Show,Credit Card,983.67
AB00118,PAX00118,FL633,Michaelbury,South Jason,08/10/2023,18/08/2025,Economy,Canceled,UPI,835.23
AB00119,PAX00119,FL502,Fraziermouth,Dawnside,04/12/2024,26/08/2025,First Class,Canceled,UPI,1307.4
AB00120,PAX00120,FL375,East Calvinton,West Stephen,09/02/2023,01/03/2023,First Class,Canceled,UPI,636.52
AB00121,PAX00121,FL652,West Nicholas,Jasonhaven,02/07/2023,12/09/2025,Economy,Pending,PayPal,1491.7
AB00122,PAX00122,FL281,South Russellhaven,East Anthony,26/11/2024,14/09/2025,Economy,Confirmed,Credit Card,649.78
AB00123,PAX00123,FL967,Lawrenceshire,New Latoyastad,20/09/2024,19/09/2025,First Class,Pending,Net Banking,931.27
AB00124,PAX00124,FL514,Danielleburgh,Hicksland,21/03/2023,04/05/2023,Business,Pending,UPI,208.7
AB00125,PAX00125,FL749,Santoshaven,Irwinview,20/03/2024,08/03/2025,Economy,Confirmed,PayPal,127.33
AB00126,PAX00126,FL819,Tamibury,Port Ericborough,01/05/2024,17/06/2025,First Class,Pending,Credit Card,769.56
AB00127,PAX00127,FL920,North Kellyport,Nicoletown,29/09/2024,,First Class,Confirmed,PayPal,1083.4
AB00128,PAX00128,FL801,East Lisa,Timothyberg,22/09/2024,30/09/2024,Business,Confirmed,PayPal,581.34
AB00129,PAX00129,FL761,Brianport,Youngview,17/11/2023,08/12/2023,First Class,No-Show,Credit Card,1499.28
AB00130,PAX00130,FL337,Morenoshire,Michaelport,17/09/2024,22/09/2024,Business,No-Show,Credit Card,479.43
AB00131,PAX00131,FL731,Lake Eric,Ashleestad,08/03/2024,11/03/2024,Economy,Confirmed,Net Banking,914
AB00132,PAX00132,FL953,East Amyshire,Sheilaport,11/11/2023,09/01/2024,First Class,No-Show,Credit Card,846.46
AB00133,PAX00133,FL759,Daniellechester,Davisland,21/08/2024,28/12/2025,First Class,Canceled,Credit Card,1349.42
AB00134,PAX00134,FL648,Brooketon,East Gregory,30/09/2024,15/05/2025,First Class,Pending,Net Banking,1360.23
AB00135,PAX00135,FL124,Nathanberg,South Jenniferfurt,31/07/2024,24/05/2025,First Class,Confirmed,Credit Card,130.56
AB00136,PAX00136,FL957,Brownborough,Marthaville,23/04/2023,10/05/2023,Economy,Confirmed,UPI,591.51
AB00137,PAX00137,FL269,Cummingsburgh,Kathleenborough,08/11/2024,10/11/2024,Business,Canceled,PayPal,692.3
AB00138,PAX00138,FL235,East Stephen,Robertsshire,29/07/2024,18/01/2026,Business,No-Show,PayPal,1487.59
AB00139,PAX00139,FL579,Port Jessicamouth,Lake Wesley,20/10/2023,18/12/2023,First Class,No-Show,UPI,727.63
AB00140,PAX00140,FL934,New Rebeccabury,Patrickfurt,29/06/2023,24/08/2023,First Class,Canceled,Credit Card,961.66
AB00141,PAX00141,FL653,Amandastad,South Christine,04/05/2023,09/06/2023,First Class,Confirmed,Net Banking,489.71
AB00142,PAX00142,FL333,Burnsstad,Tracyfurt,26/11/2023,03/02/2025,Economy,Canceled,Credit Card,905.66
AB00143,PAX00143,FL608,Deborahview,Youngshire,27/12/2024,20/04/2025,Business,Canceled,Credit Card,1084.72
AB00144,PAX00144,FL623,Riggsview,West Tiffany,10/08/2023,13/08/2023,First Class,Confirmed,PayPal,284.56
AB00145,PAX00145,FL222,Davidside,West David,02/05/2024,11/11/2025,First Class,Confirmed,UPI,1131.31
AB00146,PAX00146,FL191,North Barbaraland,Port Michael,20/03/2023,19/07/2025,First Class,No-Show,UPI,1273.8
AB00147,PAX00147,FL108,New Jacob,Johnnystad,07/07/2023,14/07/2023,Economy,No-Show,Net Banking,276.43
AB00148,PAX00148,FL749,Lake Aaron,Raybury,19/08/2023,16/03/2025,First Class,Confirmed,Credit Card,673.16
AB00149,PAX00149,FL574,East Angela,Wintersside,31/10/2024,09/12/2025,Business,Pending,Credit Card,1148.57
AB00150,PAX00150,FL529,Davisborough,East Luisland,04/02/2024,01/03/2024,First Class,Pending,Credit Card,607.44
AB00151,PAX00151,FL191,Lake Danielfort,Jenniferhaven,18/02/2024,18/12/2025,First Class,Canceled,PayPal,1010.33
AB00152,PAX00152,FL484,Port Nathan,South Lauraland,03/11/2023,26/04/2025,Business,Confirmed,Credit Card,274.63
AB00153,PAX00153,FL152,Jenniferport,East Karenchester,26/01/2024,04/02/2024,First Class,Canceled,Credit Card,774.73
AB00154,PAX00154,FL972,South Laurenbury,West Amychester,14/06/2023,30/07/2023,First Class,Confirmed,UPI,128.38
AB00155,PAX00155,FL472,Tracyport,New Ronald,27/05/2023,07/10/2025,Business,Confirmed,Credit Card,466.45
AB00156,PAX00156,FL475,Austinmouth,Susanburgh,18/06/2023,11/07/2025,Business,Canceled,PayPal,1092.94
AB00157,PAX00157,FL222,South Patricia,Josestad,06/06/2024,17/12/2025,First Class,Confirmed,UPI,1307.99
AB00158,PAX00158,FL976,Jasminestad,Brandychester,14/09/2023,18/05/2025,Economy,Pending,PayPal,953.57
AB00159,PAX00159,FL627,Hayesborough,Davidchester,24/04/2023,15/02/2025,Business,No-Show,PayPal,781.18
AB00160,PAX00160,FL601,New Marcborough,Petersonside,29/11/2023,10/01/2026,Business,Canceled,PayPal,440.35
AB00161,PAX00161,FL422,East Nancy,Lake Anthonyberg,25/07/2023,24/03/2025,Economy,Pending,Credit Card,364.1
AB00162,PAX00162,FL197,North Brittanyland,Weekshaven,01/09/2024,31/10/2024,First Class,Confirmed,PayPal,976.9
AB00163,PAX00163,FL541,New Melissa,Emilyport,24/06/2024,24/11/2025,First Class,Confirmed,PayPal,240.6
AB00164,PAX00164,FL982,Lake Peter,Santiagofurt,16/09/2023,02/11/2023,Business,Confirmed,Net Banking,416.47
AB00165,PAX00165,FL878,East William,Michelebury,02/11/2024,03/11/2024,Economy,No-Show,Net Banking,1392.01
AB00166,PAX00166,FL196,West Lauraton,Marissahaven,01/07/2024,17/07/2024,Economy,Canceled,PayPal,879.34
AB00167,PAX00167,FL140,East Kennethfurt,Port Ericamouth,28/10/2023,28/04/2025,First Class,No-Show,Credit Card,694.58
AB00168,PAX00168,FL668,East Davidchester,Kristinafurt,26/10/2023,12/12/2023,Economy,Pending,UPI,274.37
AB00169,PAX00169,FL490,Hannafort,Christinaton,12/09/2024,03/09/2025,Business,Canceled,PayPal,1024.38
AB00170,PAX00170,FL954,Josephside,Daniellebury,17/06/2023,24/09/2025,First Class,No-Show,Credit Card,307.77
AB00171,PAX00171,FL109,Moralesland,North Karenfort,08/11/2024,06/01/2025,Business,Pending,Net Banking,290.74
AB00172,PAX00172,FL684,South Christina,Frazierside,09/06/2023,30/01/2025,First Class,No-Show,Credit Card,268.57
AB00173,PAX00173,FL735,East Brooke,Sweeneyberg,26/08/2023,07/09/2023,Business,No-Show,PayPal,798.12
AB00174,PAX00174,FL781,Kennethfurt,North Karenport,20/09/2023,09/10/2023,Business,Confirmed,UPI,1050.12
AB00175,PAX00175,FL787,East Carriefurt,Garciaview,29/10/2023,06/08/2025,Economy,Pending,Net Banking,1249.9
AB00176,PAX00176,FL164,Port Elizabeth,Moranfort,12/10/2023,23/10/2023,Business,Pending,Credit Card,1106.05
AB00177,PAX00177,FL683,Cindymouth,East Christophermouth,30/10/2023,03/09/2025,Business,Canceled,PayPal,804.06
AB00178,PAX00178,FL704,North Rhondaport,New Michael,27/11/2024,14/03/2025,Economy,Confirmed,PayPal,898.04
AB00179,PAX00179,FL488,Salazarberg,Christineton,12/06/2024,07/08/2024,Economy,No-Show,PayPal,245.12
AB00180,PAX00180,FL143,Karenton,North Cynthia,09/05/2023,22/05/2023,First Class,Confirmed,Credit Card,1306.9
AB00181,PAX00181,FL691,Erinland,West Tiffanyberg,11/01/2025,29/01/2025,Business,Pending,UPI,638.04
AB00182,PAX00182,FL900,Jacquelinetown,West Kimberlyfurt,22/09/2023,24/11/2025,Business,Confirmed,Net Banking,1183.55
AB00183,PAX00183,FL486,Kevinborough,Sarahberg,06/02/2023,07/06/2025,Business,Canceled,Credit Card,265.47
AB00184,PAX00184,FL216,Douglaschester,Charleston,26/06/2024,08/07/2025,Business,Canceled,Credit Card,702.99
AB00185,PAX00185,FL830,Ericastad,Cindyport,28/11/2023,30/04/2025,Economy,Confirmed,PayPal,1332.55
AB00186,PAX00186,FL896,New Jessicamouth,North Dorothy,26/08/2023,23/07/2025,First Class,Confirmed,Net Banking,587.5
AB00187,PAX00187,FL977,East Amber,East Jamesland,14/10/2024,09/11/2024,Economy,Canceled,UPI,1037.4
AB00188,PAX00188,FL329,South David,Morganberg,28/08/2024,23/03/2025,Economy,Confirmed,Net Banking,1112.8
AB00189,PAX00189,FL128,Allenside,Rachelborough,14/02/2024,20/11/2025,First Class,Pending,Credit Card,1418.1
AB00190,PAX00190,FL242,Smithmouth,Ericshire,09/03/2023,11/05/2025,Business,Pending,PayPal,1474.07
AB00191,PAX00191,FL196,New Maryborough,Smithchester,16/03/2023,04/05/2023,Economy,Canceled,PayPal,1094.88
AB00192,PAX00192,FL647,Garrettberg,North Stephen,20/06/2024,13/12/2025,First Class,No-Show,PayPal,825.37
AB00193,PAX00193,FL101,West Lacey,New Lisaview,16/12/2023,22/12/2023,Business,Pending,Net Banking,1188.56
AB00194,PAX00194,FL734,South James,Priceland,14/04/2024,02/05/2024,Business,Canceled,Net Banking,1478.94
AB00195,PAX00195,FL899,New Krystal,Herreramouth,05/10/2023,03/12/2025,Business,No-Show,Net Banking,650.52
AB00196,PAX00196,FL877,Hallmouth,East Michelle,30/12/2023,06/04/2025,Business,Canceled,PayPal,281.66
AB00197,PAX00197,FL110,Lake Angelaville,North David,22/01/2025,08/03/2025,Economy,Pending,UPI,896.62
AB00198,PAX00198,FL415,New Margaretshire,Allenland,15/10/2023,16/05/2025,Business,Canceled,Credit Card,555.24
AB00199,PAX00199,FL361,Port Ethan,Stephanieberg,02/05/2024,26/11/2025,Economy,Canceled,UPI,1146.42
AB00200,PAX00200,FL278,Johnland,South Davidfort,07/07/2023,04/08/2023,Economy,Pending,PayPal,1076.79
AB00201,PAX00201,FL931,Joshuaberg,Copelandberg,24/12/2024,,Business,Pending,PayPal,969.17
AB00202,PAX00202,FL924,New Ian,North Carol,08/05/2024,29/01/2025,Business,Canceled,PayPal,651.57
AB00203,PAX00203,FL396,South Latasha,Port Robert,28/12/2023,22/08/2025,First Class,Confirmed,UPI,1389.51
AB00204,PAX00204,FL439,Cortezview,South Brian,18/09/2023,08/10/2023,Business,Canceled,PayPal,231.55
AB00205,PAX00205,FL282,East Samantha,Loriville,11/08/2023,22/08/2023,First Class,Confirmed,UPI,1115.12
AB00206,PAX00206,FL399,Robertotown,Port Megan,24/04/2024,12/02/2025,Economy,Canceled,Net Banking,963.77
AB00207,PAX00207,FL777,East Jennifer,Collierport,12/10/2023,07/07/2025,Business,Canceled,PayPal,823.32
AB00208,PAX00208,FL967,West Regina,South Tammy,05/03/2023,29/08/2025,Economy,Confirmed,UPI,549.98
AB00209,PAX00209,FL392,New Claudiafurt,West Jessicamouth,11/03/2024,07/05/2024,Economy,No-Show,PayPal,1433.19
AB00210,PAX00210,FL689,East Mary,Matthewshire,27/10/2023,03/10/2025,Economy,Pending,PayPal,482.22
AB00211,PAX00211,FL898,West Michealhaven,West Danny,02/09/2024,28/03/2025,Business,Canceled,PayPal,1322.84
AB00212,PAX00212,FL324,South Deborahstad,Nolanland,04/10/2023,05/02/2025,Business,Confirmed,UPI,819.59
AB00213,PAX00213,FL663,Schneiderchester,North Jeremy,05/04/2023,17/05/2023,First Class,No-Show,Credit Card,325.82
AB00214,PAX00214,FL799,East Ashleyfort,South Adrian,11/12/2024,07/02/2025,Business,Confirmed,UPI,1017.37
AB00215,PAX00215,FL445,Dianachester,Lake Andreaborough,19/02/2024,15/01/2026,First Class,Confirmed,Net Banking,1334.57
AB00216,PAX00216,FL596,Camachoberg,East Joshuashire,03/03/2024,01/05/2025,Economy,Canceled,PayPal,603.16
AB00217,PAX00217,FL844,Port Michaelchester,Deckertown,06/01/2025,16/08/2025,First Class,No-Show,UPI,1227.05
AB00218,PAX00218,FL871,East Travisfurt,Kaylaside,12/10/2023,22/10/2023,First Class,Pending,Credit Card,512.47
AB00219,PAX00219,FL295,Adamport,Gaytown,24/12/2023,25/12/2023,First Class,Pending,UPI,635.01
AB00220,PAX00220,FL346,Cruzshire,Port Daniel,13/03/2023,14/03/2023,Business,Confirmed,Net Banking,958.93
AB00221,PAX00221,FL590,Williamstad,New Jodi,23/09/2023,26/10/2023,Economy,Confirmed,Net Banking,1466.09
AB00222,PAX00222,FL463,Port Michael,Floresburgh,13/07/2024,12/09/2025,Economy,Pending,PayPal,715.26
AB00223,PAX00223,FL901,New Davidberg,West Christopher,01/03/2023,23/04/2023,Economy,No-Show,UPI,107.56
AB00224,PAX00224,FL148,Cohenbury,Michaelchester,15/08/2024,13/10/2025,Economy,Canceled,UPI,1364.98
AB00225,PAX00225,FL896,Mcdanielbury,Lake Adam,05/03/2023,07/06/2025,Economy,Confirmed,Net Banking,674.71
AB00226,PAX00226,FL179,Port Peter,North Kristina,08/08/2024,13/03/2025,Economy,Confirmed,Net Banking,219.64
AB00227,PAX00227,FL371,Nathanview,Popeview,30/05/2024,01/10/2025,Economy,Canceled,Net Banking,935.13
