call_log_id,pax_id,call_date,call_duration,issue_category,resolution_status
CALL00050,PAX00050,2023-09-12,16,Refund Request,Escalated
CALL00051,PAX00051,2024-12-05,31,Refund Request,Escalated
CALL00052,PAX00052,2024-10-02,38,Refund Request,Resolved
CALL00053,PAX00053,2023-08-14,3,Refund Request,Resolved
CALL00054,PAX00054,2023-04-14,23,Booking Issue,Pending
CALL00055,PAX00055,2024-04-01,41,Booking Issue,Resolved
CALL00056,PAX00056,2024-03-04,4,General Inquiry,Escalated
CALL00057,PAX00057,2024-11-08,57,Refund Request,Escalated
CALL00058,PAX00058,2023-08-15,50,Booking Issue,Pending
CALL00059,PAX00059,2024-04-29,32,Refund Request,Escalated
CALL00060,PAX00060,2024-01-28,39,Refund Request,Resolved
CALL00061,PAX00061,2023-12-01,50,General Inquiry,Resolved
CALL00062,PAX00062,2023-10-30,7,Refund Request,Resolved
CALL00063,PAX00063,2024-11-24,51,General Inquiry,Pending
CALL00064,PAX00064,2024-08-16,48,General Inquiry,Resolved
CALL00065,PAX00065,2024-01-24,15,Booking Issue,Pending
CALL00066,PAX00066,2024-01-25,14,Refund Request,Escalated
CALL00067,PAX00067,2023-06-24,37,Booking Issue,Pending
CALL00068,PAX00068,2024-01-19,4,General Inquiry,Resolved
CALL00069,PAX00069,2024-09-16,60,Refund Request,Resolved
CALL00070,PAX00070,2024-09-21,18,Booking Issue,Pending
CALL00071,PAX00071,2024-06-03,48,Booking Issue,Escalated
CALL00072,PAX00072,2024-03-01,52,Refund Request,Resolved
CALL00073,PAX00073,2023-08-13,48,General Inquiry,Escalated
CALL00074,PAX00074,2024-09-18,5,Refund Request,Escalated
CALL00075,PAX00075,2024-08-20,38,Refund Request,Resolved
CALL00076,PAX00076,2024-12-08,33,Refund Request,Resolved
CALL00077,PAX00077,2023-04-23,6,Booking Issue,Pending
CALL00078,PAX00078,2024-05-01,31,General Inquiry,Resolved
CALL00079,PAX00079,2023-04-22,5,General Inquiry,Pending
CALL00080,PAX00080,2025-01-18,1,Refund Request,Pending
CALL00081,PAX00081,2024-06-03,3,Refund Request,Resolved
CALL00082,PAX00082,2024-03-30,36,Refund Request,Escalated
CALL00083,PAX00083,2024-04-20,45,Booking Issue,Resolved
CALL00084,PAX00084,2024-11-28,18,General Inquiry,Escalated
CALL00085,PAX00085,2024-02-15,31,Refund Request,Escalated
CALL00086,PAX00086,2023-04-10,8,Booking Issue,Pending
CALL00087,PAX00087,2024-07-30,40,Refund Request,Resolved
CALL00088,PAX00088,2025-01-22,20,Booking Issue,Escalated
CALL00089,PAX00089,2023-04-24,56,Refund Request,Resolved
CALL00090,PAX00090,2023-08-04,51,Booking Issue,Escalated
CALL00091,PAX00091,2024-09-04,54,Refund Request,Escalated
CALL00092,PAX00092,2024-08-16,4,Booking Issue,Pending
CALL00093,PAX00093,2023-09-25,35,Booking Issue,Pending
CALL00094,PAX00094,2024-02-26,13,Booking Issue,Escalated
CALL00095,PAX00095,2024-12-24,14,Refund Request,Resolved
CALL00096,PAX00096,2024-01-18,14,General Inquiry,Escalated
CALL00097,PAX00097,2023-10-13,25,General Inquiry,Resolved
CALL00098,PAX00098,2023-03-01,18,Booking Issue,Pending
CALL00099,PAX00099,2024-09-13,5,General Inquiry,Resolved
CALL00100,PAX00100,2024-11-29,5,General Inquiry,Escalated
CALL00101,PAX00101,2024-03-23,50,General Inquiry,Escalated
CALL00102,PAX00102,2024-06-21,22,Booking Issue,Resolved
CALL00103,PAX00103,2024-05-31,25,Refund Request,Resolved
CALL00104,PAX00104,2024-12-07,3,Booking Issue,Escalated
CALL00105,PAX00105,2024-03-25,28,General Inquiry,Resolved
CALL00106,PAX00106,2024-01-24,6,Refund Request,Escalated
CALL00107,PAX00107,2024-05-15,60,General Inquiry,Pending
CALL00108,PAX00108,2024-01-27,34,Booking Issue,Resolved
CALL00109,PAX00109,2024-03-11,55,Refund Request,Escalated
CALL00110,PAX00110,2024-07-13,1,General Inquiry,Pending
CALL00111,PAX00111,2023-02-11,7,Booking Issue,Escalated
CALL00112,PAX00112,2024-04-19,58,General Inquiry,Resolved
CALL00113,PAX00113,2024-06-26,55,General Inquiry,Resolved
CALL00114,PAX00114,2024-12-10,51,General Inquiry,Resolved
CALL00115,PAX00115,2024-05-26,51,Booking Issue,Escalated
CALL00116,PAX00116,2024-01-19,14,General Inquiry,Resolved
CALL00117,PAX00117,2023-11-21,44,General Inquiry,Resolved
CALL00118,PAX00118,2023-07-28,35,Refund Request,Pending
CALL00119,PAX00119,2023-07-05,59,General Inquiry,Pending
CALL00120,PAX00120,2024-09-01,56,General Inquiry,Escalated
CALL00121,PAX00121,2024-08-21,10,Booking Issue,Escalated
CALL00122,PAX00122,2024-07-21,30,Refund Request,Resolved
CALL00123,PAX00123,2023-11-20,22,General Inquiry,Escalated
CALL00124,PAX00124,2024-12-14,24,Refund Request,Pending
CALL00125,PAX00125,2023-08-25,36,General Inquiry,Escalated
CALL00126,PAX00126,2024-11-14,4,Refund Request,Escalated
CALL00127,PAX00127,2023-11-27,31,General Inquiry,Escalated
CALL00128,PAX00128,2024-08-09,16,Booking Issue,Escalated
CALL00129,PAX00129,2023-09-24,22,General Inquiry,Resolved
CALL00130,PAX00130,2023-04-09,38,Booking Issue,Pending
CALL00131,PAX00131,2023-10-09,59,General Inquiry,Resolved
CALL00132,PAX00132,2024-03-28,58,Booking Issue,Resolved
CALL00133,PAX00133,2023-05-09,25,General Inquiry,Pending
CALL00134,PAX00134,2024-08-06,23,Refund Request,Escalated
CALL00135,PAX00135,2023-05-05,35,General Inquiry,Escalated
CALL00136,PAX00136,2023-08-21,44,Refund Request,Escalated
CALL00137,PAX00137,2023-11-16,21,Booking Issue,Pending
CALL00138,PAX00138,2024-02-23,39,General Inquiry,Escalated
CALL00139,PAX00139,2023-11-28,25,General Inquiry,Resolved
CALL00140,PAX00140,2023-11-21,14,General Inquiry,Escalated
CALL00141,PAX00141,2023-11-01,56,Refund Request,Escalated
CALL00142,PAX00142,2023-09-18,52,Refund Request,Resolved
CALL00143,PAX00143,2024-02-21,18,General Inquiry,Escalated
CALL00144,PAX00144,2023-02-16,2,General Inquiry,Pending
CALL00145,PAX00145,2023-07-26,20,General Inquiry,Escalated
CALL00146,PAX00146,2023-09-29,11,General Inquiry,Pending
CALL00147,PAX00147,2024-12-26,10,Booking Issue,Pending
CALL00148,PAX00148,2024-06-13,14,Refund Request,Pending
CALL00149,PAX00149,2024-04-02,60,Refund Request,Escalated
CALL00150,PAX00150,2024-10-01,11,Refund Request,Escalated
CALL00151,PAX00151,2024-12-15,59,Booking Issue,Pending
CALL00152,PAX00152,2024-07-07,30,General Inquiry,Resolved
CALL00153,PAX00153,2024-06-24,30,General Inquiry,Resolved
CALL00154,PAX00154,2024-11-30,45,General Inquiry,Resolved
CALL00155,PAX00155,2024-11-18,7,Refund Request,Escalated
CALL00156,PAX00156,2023-06-22,46,Refund Request,Resolved
CALL00157,PAX00157,2024-04-15,42,General Inquiry,Escalated
CALL00158,PAX00158,2023-12-30,8,General Inquiry,Pending
CALL00159,PAX00159,2024-12-21,48,Refund Request,Resolved
CALL00160,PAX00160,2023-02-02,47,General Inquiry,Pending
CALL00161,PAX00161,2023-10-03,10,Booking Issue,Resolved
CALL00162,PAX00162,2023-02-06,5,Refund Request,Escalated
CALL00163,PAX00163,2024-12-07,23,Booking Issue,Pending
CALL00164,PAX00164,2024-06-20,35,General Inquiry,Escalated
CALL00165,PAX00165,2023-05-09,5,Booking Issue,Escalated
CALL00166,PAX00166,2024-09-17,20,Refund Request,Resolved
CALL00167,PAX00167,2023-12-27,19,Refund Request,Resolved
CALL00168,PAX00168,2024-01-28,51,General Inquiry,Pending
CALL00169,PAX00169,2024-11-08,20,Booking Issue,Resolved
CALL00170,PAX00170,2023-02-26,2,Refund Request,Escalated
CALL00171,PAX00171,2023-09-10,41,General Inquiry,Pending
CALL00172,PAX00172,2023-06-08,48,Refund Request,Resolved
CALL00173,PAX00173,2023-05-12,25,General Inquiry,Pending
CALL00174,PAX00174,2024-09-06,32,General Inquiry,Resolved
CALL00175,PAX00175,2025-01-19,5,General Inquiry,Escalated
CALL00176,PAX00176,2024-06-25,28,Refund Request,Resolved
CALL00177,PAX00177,2024-03-19,16,General Inquiry,Escalated
CALL00178,PAX00178,2023-12-18,54,Booking Issue,Pending
CALL00179,PAX00179,2023-04-30,36,General Inquiry,Escalated
CALL00180,PAX00180,2024-12-24,19,General Inquiry,Escalated
CALL00181,PAX00181,2025-01-13,15,Refund Request,Pending
CALL00182,PAX00182,2023-05-31,24,General Inquiry,Pending
CALL00183,PAX00183,2023-11-22,39,General Inquiry,Escalated
CALL00184,PAX00184,2024-10-29,9,Booking Issue,Pending
CALL00185,PAX00185,2023-09-22,38,Refund Request,Pending
CALL00186,PAX00186,2023-07-14,10,General Inquiry,Resolved
CALL00187,PAX00187,2023-11-14,59,General Inquiry,Escalated
CALL00188,PAX00188,2023-11-13,11,General Inquiry,Pending
CALL00189,PAX00189,2024-09-09,11,General Inquiry,Resolved
CALL00190,PAX00190,2024-05-24,54,Booking Issue,Resolved
CALL00191,PAX00191,2023-06-10,35,Booking Issue,Pending
CALL00192,PAX00192,2023-03-03,47,General Inquiry,Escalated
CALL00193,PAX00193,2024-03-12,7,Refund Request,Pending
CALL00194,PAX00194,2024-11-14,17,Booking Issue,Resolved
CALL00195,PAX00195,2023-07-01,47,Refund Request,Pending
CALL00196,PAX00196,2023-08-06,35,Refund Request,Resolved
CALL00197,PAX00197,2023-06-13,19,Booking Issue,Pending
CALL00198,PAX00198,2024-07-17,4,Booking Issue,Pending
CALL00199,PAX00199,2024-09-16,29,General Inquiry,Resolved
CALL00200,PAX00200,2023-03-25,59,Refund Request,Escalated
CALL00201,PAX00201,2024-11-19,12,Refund Request,Pending
CALL00202,PAX00202,2024-01-11,49,Booking Issue,Escalated
CALL00203,PAX00203,2024-08-16,1,Booking Issue,Pending
CALL00204,PAX00204,2023-11-21,59,Booking Issue,Resolved
CALL00205,PAX00205,2023-07-24,25,Booking Issue,Pending
CALL00206,PAX00206,2024-08-19,19,Booking Issue,Resolved
CALL00207,PAX00207,2024-07-03,5,Refund Request,Pending
CALL00208,PAX00208,2024-06-08,26,Refund Request,Escalated
CALL00209,PAX00209,2025-01-07,12,Refund Request,Pending
CALL00210,PAX00210,2024-07-21,31,General Inquiry,Pending
CALL00211,PAX00211,2023-01-31,60,Booking Issue,Escalated
CALL00212,PAX00212,2024-12-19,35,Refund Request,Escalated
CALL00213,PAX00213,2023-06-02,59,General Inquiry,Escalated
CALL00214,PAX00214,2024-05-19,32,Booking Issue,Pending
CALL00215,PAX00215,2023-08-03,48,General Inquiry,Escalated
CALL00216,PAX00216,2024-12-15,26,Booking Issue,Escalated
CALL00217,PAX00217,2023-11-12,17,General Inquiry,Resolved
CALL00218,PAX00218,2023-08-16,57,Booking Issue,Resolved
CALL00219,PAX00219,2024-02-13,53,General Inquiry,Resolved
CALL00220,PAX00220,2023-05-01,20,General Inquiry,Resolved
CALL00221,PAX00221,2023-06-19,45,General Inquiry,Pending
CALL00222,PAX00222,2024-07-24,5,Refund Request,Pending
CALL00223,PAX00223,2023-03-03,13,Booking Issue,Resolved
CALL00224,PAX00224,2023-07-09,2,Refund Request,Escalated
CALL00225,PAX00225,2024-09-02,41,Booking Issue,Escalated
CALL00226,PAX00226,2024-09-19,46,Refund Request,Escalated
CALL00227,PAX00227,2024-10-22,38,General Inquiry,Pending
CALL00228,PAX00228,2023-04-28,23,Booking Issue,Escalated
CALL00229,PAX00229,2024-05-17,36,Refund Request,Resolved
CALL00230,PAX00230,2024-07-14,23,Booking Issue,Escalated
CALL00231,PAX00231,2023-04-08,44,General Inquiry,Escalated
CALL00232,PAX00232,2023-03-28,23,General Inquiry,Resolved
CALL00233,PAX00233,2024-01-22,5,General Inquiry,Pending
CALL00234,PAX00234,2023-08-05,16,Refund Request,Escalated
CALL00235,PAX00235,2024-10-27,39,Refund Request,Resolved
CALL00236,PAX00236,2024-04-09,26,Booking Issue,Pending
CALL00237,PAX00237,2024-02-20,13,General Inquiry,Pending
CALL00238,PAX00238,2023-06-25,53,Refund Request,Pending
CALL00239,PAX00239,2024-07-10,30,General Inquiry,Escalated
CALL00240,PAX00240,2024-11-08,20,Refund Request,Resolved
CALL00241,PAX00241,2024-03-12,2,Refund Request,Pending
CALL00242,PAX00242,2024-11-17,6,Refund Request,Pending
CALL00243,PAX00243,2024-04-24,42,Refund Request,Resolved
CALL00244,PAX00244,2024-04-26,27,Booking Issue,Resolved
CALL00245,PAX00245,2024-06-08,33,Booking Issue,Escalated
CALL00246,PAX00246,2024-07-10,31,Refund Request,Resolved
CALL00247,PAX00247,2024-07-22,56,Booking Issue,Resolved
CALL00248,PAX00248,2024-06-30,22,General Inquiry,Resolved
CALL00249,PAX00249,2024-01-09,35,Refund Request,Pending
CALL00250,PAX00250,2023-12-25,43,Refund Request,Pending
CALL00251,PAX00251,2024-08-10,43,General Inquiry,Resolved
CALL00252,PAX00252,2024-05-23,16,General Inquiry,Escalated
CALL00253,PAX00253,2023-02-14,2,Booking Issue,Resolved
CALL00254,PAX00254,2024-02-11,23,Refund Request,Pending
CALL00255,PAX00255,2024-01-04,38,Refund Request,Pending
CALL00256,PAX00256,2023-03-02,40,Booking Issue,Resolved
CALL00257,PAX00257,2024-03-17,32,Refund Request,Resolved
CALL00258,PAX00258,2024-09-08,3,General Inquiry,Escalated
CALL00259,PAX00259,2024-08-27,23,General Inquiry,Pending
CALL00260,PAX00260,2023-08-11,18,Refund Request,Resolved
CALL00261,PAX00261,2023-06-19,33,Refund Request,Pending
CALL00262,PAX00262,2023-04-02,3,Refund Request,Resolved
CALL00263,PAX00263,2024-11-15,31,Booking Issue,Resolved
CALL00264,PAX00264,2023-02-08,51,General Inquiry,Escalated
CALL00265,PAX00265,2023-08-26,32,Booking Issue,Resolved
CALL00266,PAX00266,2025-01-14,9,General Inquiry,Escalated
CALL00267,PAX00267,2023-06-09,23,General Inquiry,Resolved
CALL00268,PAX00268,2023-12-07,44,Booking Issue,Escalated
CALL00269,PAX00269,2024-11-06,5,Booking Issue,Escalated
CALL00270,PAX00270,2023-10-07,36,Booking Issue,Escalated
CALL00271,PAX00271,2024-08-15,6,General Inquiry,Escalated
CALL00272,PAX00272,2023-07-21,42,General Inquiry,Pending
CALL00273,PAX00273,2024-07-28,26,General Inquiry,Pending
CALL00274,PAX00274,2024-05-12,25,General Inquiry,Escalated
CALL00275,PAX00275,2023-08-10,45,Booking Issue,Escalated
CALL00276,PAX00276,2023-03-19,5,Refund Request,Pending
CALL00277,PAX00277,2023-02-12,9,Booking Issue,Resolved
CALL00278,PAX00278,2024-04-13,25,Booking Issue,Resolved
CALL00279,PAX00279,2024-08-09,57,Refund Request,Escalated
CALL00280,PAX00280,2023-12-03,30,General Inquiry,Escalated
CALL00281,PAX00281,2023-09-07,5,Refund Request,Resolved
CALL00282,PAX00282,2023-08-22,16,Refund Request,Resolved
CALL00283,PAX00283,2024-10-17,3,General Inquiry,Resolved
CALL00284,PAX00284,2024-04-04,35,Booking Issue,Escalated
CALL00285,PAX00285,2023-07-23,23,Booking Issue,Resolved
CALL00286,PAX00286,2023-12-28,46,Refund Request,Escalated
CALL00287,PAX00287,2024-06-12,60,Refund Request,Pending
CALL00288,PAX00288,2025-01-09,13,Booking Issue,Escalated
CALL00289,PAX00289,2023-09-08,1,Booking Issue,Escalated
CALL00290,PAX00290,2025-01-01,16,Booking Issue,Pending
CALL00291,PAX00291,2024-10-27,48,Booking Issue,Pending
CALL00292,PAX00292,2023-11-18,36,Refund Request,Escalated
CALL00293,PAX00293,2024-12-07,10,Refund Request,Resolved
CALL00294,PAX00294,2023-06-19,54,General Inquiry,Resolved
CALL00295,PAX00295,2024-03-09,26,Refund Request,Escalated
CALL00296,PAX00296,2023-05-26,3,Refund Request,Pending
CALL00297,PAX00297,2024-10-26,56,Booking Issue,Resolved
CALL00298,PAX00298,2024-04-20,13,Booking Issue,Pending
CALL00299,PAX00299,2023-11-16,33,Booking Issue,Escalated
CALL00300,PAX00300,2024-06-15,5,General Inquiry,Escalated
CALL00301,PAX00301,2024-06-20,9,General Inquiry,Resolved
CALL00302,PAX00302,2024-01-26,48,General Inquiry,Pending
CALL00303,PAX00303,2023-12-14,42,Booking Issue,Escalated
CALL00304,PAX00304,2024-12-28,9,Booking Issue,Escalated
CALL00305,PAX00305,2023-07-24,39,Booking Issue,Escalated
CALL00306,PAX00306,2023-07-18,59,Refund Request,Escalated
CALL00307,PAX00307,2024-10-08,45,General Inquiry,Resolved
CALL00308,PAX00308,2023-07-02,60,General Inquiry,Pending
CALL00309,PAX00309,2023-09-13,58,General Inquiry,Escalated
CALL00310,PAX00310,2023-10-06,15,Refund Request,Escalated
CALL00311,PAX00311,2023-11-07,24,Refund Request,Pending
CALL00312,PAX00312,2024-08-04,51,General Inquiry,Resolved
CALL00313,PAX00313,2024-07-13,48,Booking Issue,Escalated
CALL00314,PAX00314,2023-06-07,6,General Inquiry,Pending
CALL00315,PAX00315,2023-04-07,7,Refund Request,Resolved
CALL00316,PAX00316,2023-05-27,42,Booking Issue,Pending
CALL00317,PAX00317,2025-01-10,4,Refund Request,Pending
CALL00318,PAX00318,2023-09-01,9,General Inquiry,Escalated
CALL00319,PAX00319,2024-04-13,46,General Inquiry,Resolved
CALL00320,PAX00320,2023-08-13,15,General Inquiry,Pending
CALL00321,PAX00321,2023-07-22,19,Booking Issue,Escalated
CALL00322,PAX00322,2025-01-05,7,General Inquiry,Resolved
CALL00323,PAX00323,2024-12-06,54,Refund Request,Escalated
CALL00324,PAX00324,2024-02-27,1,Booking Issue,Resolved
CALL00325,PAX00325,2023-07-24,38,Refund Request,Escalated
CALL00326,PAX00326,2024-09-02,15,Refund Request,Escalated
CALL00327,PAX00327,2024-05-04,9,Booking Issue,Pending
CALL00328,PAX00328,2023-07-30,56,General Inquiry,Resolved
CALL00329,PAX00329,2024-04-16,2,General Inquiry,Pending
CALL00330,PAX00330,2023-02-22,40,Refund Request,Resolved
CALL00331,PAX00331,2024-09-25,60,Booking Issue,Escalated
CALL00332,PAX00332,2023-07-04,4,General Inquiry,Resolved
CALL00333,PAX00333,2024-01-28,8,General Inquiry,Resolved
CALL00334,PAX00334,2024-06-05,40,General Inquiry,Resolved
CALL00335,PAX00335,2024-12-02,23,Booking Issue,Resolved
CALL00336,PAX00336,2023-09-15,11,Booking Issue,Pending
CALL00337,PAX00337,2023-03-21,48,Booking Issue,Escalated
CALL00338,PAX00338,2024-06-09,57,Booking Issue,Pending
CALL00339,PAX00339,2023-07-22,44,General Inquiry,Escalated
CALL00340,PAX00340,2024-02-06,49,Refund Request,Resolved
CALL00341,PAX00341,2024-02-04,53,General Inquiry,Escalated
CALL00342,PAX00342,2024-01-14,28,Refund Request,Pending
CALL00343,PAX00343,2024-07-31,58,Refund Request,Escalated
CALL00344,PAX00344,2024-11-27,58,Booking Issue,Resolved
CALL00345,PAX00345,2024-12-30,7,General Inquiry,Escalated
CALL00346,PAX00346,2023-03-12,17,General Inquiry,Resolved
CALL00347,PAX00347,2024-04-04,21,General Inquiry,Pending
CALL00348,PAX00348,2023-11-18,36,Refund Request,Pending
CALL00349,PAX00349,2024-07-12,49,Refund Request,Resolved
CALL00350,PAX00350,2024-08-19,18,Booking Issue,Escalated
CALL00351,PAX00351,2023-03-15,38,Refund Request,Pending
CALL00352,PAX00352,2024-09-21,27,General Inquiry,Pending
CALL00353,PAX00353,2024-05-15,48,Booking Issue,Resolved
CALL00354,PAX00354,2023-10-26,26,General Inquiry,Pending
CALL00355,PAX00355,2024-06-16,44,Refund Request,Escalated
CALL00356,PAX00356,2025-01-07,48,General Inquiry,Pending
CALL00357,PAX00357,2023-12-27,12,Refund Request,Pending
CALL00358,PAX00358,2023-05-08,31,General Inquiry,Escalated
CALL00359,PAX00359,2023-04-16,34,Booking Issue,Resolved
CALL00360,PAX00360,2024-12-14,16,Refund Request,Escalated
CALL00361,PAX00361,2023-11-15,45,General Inquiry,Resolved
CALL00362,PAX00362,2023-04-17,38,Booking Issue,Resolved
CALL00363,PAX00363,2023-11-06,52,Refund Request,Resolved
CALL00364,PAX00364,2024-01-20,51,General Inquiry,Pending
CALL00365,PAX00365,2023-12-13,30,Booking Issue,Escalated
CALL00366,PAX00366,2023-07-23,42,General Inquiry,Resolved
CALL00367,PAX00367,2023-03-24,31,Booking Issue,Pending
CALL00368,PAX00368,2024-11-01,2,Refund Request,Resolved
CALL00369,PAX00369,2024-01-11,14,General Inquiry,Resolved
CALL00370,PAX00370,2023-02-17,29,Booking Issue,Escalated
CALL00371,PAX00371,2024-06-20,34,General Inquiry,Pending
CALL00372,PAX00372,2024-03-04,54,Refund Request,Escalated
CALL00373,PAX00373,2023-05-11,33,General Inquiry,Resolved
CALL00374,PAX00374,2024-04-01,60,General Inquiry,Resolved
CALL00375,PAX00375,2024-09-02,47,General Inquiry,Pending
CALL00376,PAX00376,2024-09-30,30,General Inquiry,Resolved
CALL00377,PAX00377,2024-01-26,11,General Inquiry,Escalated
CALL00378,PAX00378,2023-11-05,28,Booking Issue,Escalated
CALL00379,PAX00379,2023-04-01,58,Booking Issue,Resolved
CALL00380,PAX00380,2023-03-18,38,General Inquiry,Escalated
CALL00381,PAX00381,2023-09-22,33,Booking Issue,Pending
CALL00382,PAX00382,2024-08-01,24,Booking Issue,Resolved
CALL00383,PAX00383,2023-11-23,12,General Inquiry,Resolved
CALL00384,PAX00384,2024-05-16,49,General Inquiry,Resolved
CALL00385,PAX00385,2023-10-07,3,Refund Request,Escalated
CALL00386,PAX00386,2024-09-13,26,Refund Request,Escalated
CALL00387,PAX00387,2023-09-26,18,Booking Issue,Resolved
CALL00388,PAX00388,2023-05-07,17,Refund Request,Pending
CALL00389,PAX00389,2025-01-18,29,Refund Request,Escalated
CALL00390,PAX00390,2023-04-06,21,Booking Issue,Pending
CALL00391,PAX00391,2024-11-11,23,Refund Request,Escalated
CALL00392,PAX00392,2024-01-23,10,Refund Request,Escalated
CALL00393,PAX00393,2024-08-01,1,Booking Issue,Resolved
CALL00394,PAX00394,2023-06-23,19,Refund Request,Pending
CALL00395,PAX00395,2024-01-29,25,Refund Request,Pending
CALL00396,PAX00396,2024-09-06,29,Booking Issue,Escalated
CALL00397,PAX00397,2023-09-26,42,Booking Issue,Escalated
CALL00398,PAX00398,2023-12-15,5,General Inquiry,Resolved
CALL00399,PAX00399,2024-09-04,41,Refund Request,Resolved
CALL00400,PAX00400,2025-01-14,1,General Inquiry,Escalated
CALL00401,PAX00401,2023-02-28,31,General Inquiry,Resolved
CALL00402,PAX00402,2024-09-08,58,General Inquiry,Resolved
CALL00403,PAX00403,2023-09-18,53,Booking Issue,Escalated
CALL00404,PAX00404,2025-01-19,50,General Inquiry,Escalated
CALL00405,PAX00405,2023-05-27,17,Refund Request,Escalated
CALL00406,PAX00406,2024-07-16,49,Booking Issue,Pending
CALL00407,PAX00407,2023-07-31,15,Booking Issue,Escalated
CALL00408,PAX00408,2024-10-10,9,Booking Issue,Pending
CALL00409,PAX00409,2023-12-23,14,General Inquiry,Pending
CALL00410,PAX00410,2023-07-14,36,Booking Issue,Escalated
CALL00411,PAX00411,2023-10-27,44,Booking Issue,Resolved
CALL00412,PAX00412,2023-12-08,11,Booking Issue,Pending
CALL00413,PAX00413,2025-01-22,18,General Inquiry,Resolved
CALL00414,PAX00414,2024-11-04,38,Booking Issue,Pending
CALL00415,PAX00415,2025-01-22,37,Booking Issue,Resolved
CALL00416,PAX00416,2024-07-26,11,General Inquiry,Resolved
CALL00417,PAX00417,2024-06-23,13,Refund Request,Pending
CALL00418,PAX00418,2023-08-25,4,Refund Request,Pending
CALL00419,PAX00419,2024-11-14,41,Booking Issue,Escalated
CALL00420,PAX00420,2024-02-23,42,Refund Request,Pending
CALL00421,PAX00421,2023-05-08,10,Booking Issue,Pending
CALL00422,PAX00422,2023-03-04,18,Booking Issue,Resolved
CALL00423,PAX00423,2025-01-08,2,Booking Issue,Resolved
CALL00424,PAX00424,2023-07-04,40,Booking Issue,Resolved
CALL00425,PAX00425,2024-09-01,53,Booking Issue,Escalated
CALL00426,PAX00426,2023-04-18,19,Refund Request,Pending
CALL00427,PAX00427,2024-07-27,22,General Inquiry,Resolved
CALL00428,PAX00428,2024-04-17,25,Booking Issue,Resolved
CALL00429,PAX00429,2023-08-07,18,Booking Issue,Pending
CALL00430,PAX00430,2024-05-22,55,Booking Issue,Resolved
