hotel_booking_id,pax_id,hotel_id,check_in_date,check_out_date,num_of_guests,booking_status,payment_method,currency,transaction_amount
HB00110,PAX00110,HOTEL132,2024-04-20,2025-07-19,1,Pending,PayPal,GBP,394.11
HB00111,PAX00111,HOTEL88,2023-08-25,2025-10-05,2,No-Show,PayPal,EUR,390.3
HB00112,PAX00112,HOTEL287,2023-05-22,2025-12-29,2,Canceled,Net Banking,USD,156.3
HB00113,PAX00113,HOTEL379,2023-04-03,2025-04-01,3,Confirmed,UPI,GBP,141.06
HB00114,PAX00114,HOTEL88,2024-09-30,2025-08-30,5,No-Show,Credit Card,INR,249.37
HB00115,PAX00115,HOTEL361,2024-11-01,2025-12-14,1,Pending,Net Banking,USD,62.48
HB00116,PAX00116,HOTEL264,2024-11-04,2025-09-29,4,Confirmed,Net Banking,GBP,246.42
HB00117,PAX00117,HOTEL166,2023-12-16,2025-03-09,4,No-Show,PayPal,INR,118.33
HB00118,PAX00118,HOTEL214,2024-02-02,2026-01-25,1,Canceled,Credit Card,GBP,137.77
HB00119,PAX00119,HOTEL395,2024-05-20,2025-05-08,4,Canceled,Credit Card,GBP,233.33
HB00120,PAX00120,HOTEL373,2023-02-04,2025-08-13,2,Canceled,UPI,USD,405.48
HB00121,PAX00121,HOTEL106,2023-11-24,2025-05-21,2,Pending,Net Banking,GBP,286.55
HB00122,PAX00122,HOTEL274,2024-12-18,2025-10-09,3,No-Show,UPI,EUR,386.48
HB00123,PAX00123,HOTEL343,2023-09-07,2025-12-30,4,Pending,UPI,USD,434.16
HB00124,PAX00124,HOTEL483,2025-01-13,2025-09-01,4,Confirmed,PayPal,INR,418.81
HB00125,PAX00125,HOTEL328,2023-09-29,2025-03-29,4,Pending,UPI,EUR,62.04
HB00126,PAX00126,HOTEL305,2024-08-25,2025-11-30,2,Pending,UPI,USD,234.97
HB00127,PAX00127,HOTEL178,2024-05-23,2025-08-03,4,Pending,Net Banking,USD,85.36
HB00128,PAX00128,HOTEL305,2023-08-16,2025-10-16,3,Pending,UPI,USD,413.71
HB00129,PAX00129,HOTEL142,2023-06-07,2025-11-23,2,Pending,Credit Card,INR,342.37
HB00130,PAX00130,HOTEL251,2024-11-23,2025-05-26,2,Confirmed,UPI,GBP,89.52
HB00131,PAX00131,HOTEL99,2024-04-18,2025-12-12,2,Canceled,UPI,INR,172.08
HB00132,PAX00132,HOTEL247,2023-11-27,2025-06-23,5,Pending,Net Banking,INR,295.93
HB00133,PAX00133,HOTEL321,2024-07-15,2025-04-08,5,Canceled,Net Banking,EUR,260.55
HB00134,PAX00134,HOTEL406,2024-11-24,2025-04-07,4,Pending,Credit Card,USD,159.28
HB00135,PAX00135,HOTEL455,2024-02-05,2025-07-10,2,Confirmed,Net Banking,GBP,442.51
HB00136,PAX00136,HOTEL341,2023-08-24,2025-01-29,5,Canceled,Credit Card,INR,80.14
HB00137,PAX00137,HOTEL83,2024-01-23,2025-04-15,5,Confirmed,Net Banking,INR,169.75
HB00138,PAX00138,HOTEL462,2024-01-15,2025-10-24,4,Confirmed,Credit Card,INR,243.27
HB00139,PAX00139,HOTEL433,2024-11-05,2025-12-21,1,Canceled,UPI,USD,301.52
HB00140,PAX00140,HOTEL326,2024-07-10,2025-07-14,3,No-Show,Net Banking,USD,322.53
HB00141,PAX00141,HOTEL51,2025-01-25,2025-02-09,3,No-Show,Net Banking,INR,293.56
HB00142,PAX00142,HOTEL247,2023-12-09,2026-01-25,5,Pending,UPI,GBP,435.37
HB00143,PAX00143,HOTEL129,2024-11-09,2025-06-27,2,Canceled,Net Banking,USD,169.39
HB00144,PAX00144,HOTEL150,2024-12-11,2025-11-22,5,Confirmed,PayPal,USD,460.07
HB00145,PAX00145,HOTEL380,2023-05-05,2025-07-11,3,No-Show,Credit Card,EUR,473.53
HB00146,PAX00146,HOTEL173,2023-05-18,2025-09-25,2,Pending,PayPal,INR,401.68
HB00147,PAX00147,HOTEL82,2024-12-18,2025-04-30,4,Canceled,Credit Card,GBP,153.2
HB00148,PAX00148,HOTEL172,2023-03-26,2025-12-17,1,Canceled,Net Banking,GBP,386.33
HB00149,PAX00149,HOTEL13,2024-12-07,2025-11-16,4,No-Show,UPI,INR,418.12
HB00150,PAX00150,HOTEL104,2024-12-25,2025-04-30,1,Pending,Net Banking,USD,115.42
HB00151,PAX00151,HOTEL232,2024-05-27,2025-04-02,3,Canceled,UPI,USD,367.64
HB00152,PAX00152,HOTEL330,2023-06-15,2025-02-19,4,Canceled,PayPal,USD,333.15
HB00153,PAX00153,HOTEL219,2024-01-10,2025-02-04,3,Canceled,Net Banking,USD,69.19
HB00154,PAX00154,HOTEL388,2023-09-14,2025-03-02,3,Confirmed,PayPal,GBP,399.79
HB00155,PAX00155,HOTEL21,2024-06-13,2025-09-18,3,No-Show,Net Banking,GBP,337.34
HB00156,PAX00156,HOTEL303,2024-09-15,2025-03-10,4,No-Show,Net Banking,INR,199.88
HB00157,PAX00157,HOTEL439,2024-06-27,2025-06-16,1,Canceled,Credit Card,GBP,470.99
HB00158,PAX00158,HOTEL413,2023-05-23,2025-08-23,4,Canceled,PayPal,EUR,356.3
HB00159,PAX00159,HOTEL445,2025-01-24,2025-11-14,1,No-Show,Net Banking,INR,483.21
HB00160,PAX00160,HOTEL205,2023-06-12,2025-12-07,2,Canceled,Credit Card,GBP,415.85
HB00161,PAX00161,HOTEL112,2024-06-05,2025-11-12,4,Canceled,UPI,USD,445.02
HB00162,PAX00162,HOTEL197,2023-04-06,2025-09-20,3,Confirmed,PayPal,GBP,409.15
HB00163,PAX00163,HOTEL350,2023-05-17,2025-11-06,3,No-Show,PayPal,USD,260.01
HB00164,PAX00164,HOTEL176,2025-01-09,2025-07-17,4,Pending,Net Banking,EUR,330.49
HB00165,PAX00165,HOTEL249,2024-06-25,2025-10-22,1,Confirmed,PayPal,INR,491.48
HB00166,PAX00166,HOTEL451,2024-05-22,2025-07-28,4,No-Show,Net Banking,USD,191.23
HB00167,PAX00167,HOTEL285,2023-09-12,2025-04-30,1,No-Show,PayPal,INR,370.09
HB00168,PAX00168,HOTEL342,2023-07-03,2025-07-17,4,No-Show,Net Banking,EUR,171.45
HB00169,PAX00169,HOTEL417,2023-09-03,2025-03-02,3,Canceled,Net Banking,GBP,185.37
HB00170,PAX00170,HOTEL236,2024-03-09,2025-02-26,4,Canceled,Credit Card,INR,308.29
HB00171,PAX00171,HOTEL12,2024-05-29,2025-07-07,3,Confirmed,UPI,INR,302.71
HB00172,PAX00172,HOTEL441,2023-11-16,2025-03-21,4,Canceled,Credit Card,EUR,303.82
HB00173,PAX00173,HOTEL243,2024-09-19,2025-10-27,3,No-Show,Credit Card,EUR,272.26
HB00174,PAX00174,HOTEL473,2023-04-23,2025-04-14,4,Pending,Net Banking,EUR,424.59
HB00175,PAX00175,HOTEL339,2023-04-07,2025-12-29,1,Canceled,UPI,EUR,177.76
HB00176,PAX00176,HOTEL147,2024-03-11,2025-08-01,1,Canceled,UPI,EUR,391.7
HB00177,PAX00177,HOTEL9,2024-09-29,2025-11-10,1,Canceled,Credit Card,EUR,216.99
HB00178,PAX00178,HOTEL182,2023-12-01,2025-10-17,2,Confirmed,Net Banking,USD,50.87
HB00179,PAX00179,HOTEL104,2023-10-19,2025-09-07,3,Confirmed,Net Banking,INR,498.22
HB00180,PAX00180,HOTEL266,2023-10-03,2025-08-28,5,No-Show,Credit Card,USD,194.78
HB00181,PAX00181,HOTEL211,2024-12-08,2025-11-15,1,Canceled,PayPal,GBP,480.57
HB00182,PAX00182,HOTEL321,2024-05-06,2025-02-21,5,Confirmed,Credit Card,GBP,405.15
HB00183,PAX00183,HOTEL316,2023-08-21,2025-06-04,3,Pending,PayPal,INR,380.92
HB00184,PAX00184,HOTEL10,2024-09-13,2025-05-18,4,Pending,PayPal,EUR,301.9
HB00185,PAX00185,HOTEL283,2023-12-26,2025-04-03,5,Canceled,UPI,USD,221.19
HB00186,PAX00186,HOTEL179,2023-05-23,2025-03-25,4,Canceled,Net Banking,EUR,72.06
HB00187,PAX00187,HOTEL96,2023-02-15,2025-08-04,2,Pending,PayPal,USD,237.45
HB00188,PAX00188,HOTEL447,2024-04-29,2025-10-10,1,No-Show,PayPal,INR,303.21
HB00189,PAX00189,HOTEL206,2023-08-12,2025-06-03,4,Confirmed,PayPal,INR,363.92
HB00190,PAX00190,HOTEL381,2024-08-29,2025-07-27,2,Pending,PayPal,EUR,308.98
HB00191,PAX00191,HOTEL486,2023-12-09,2025-07-08,1,Pending,UPI,EUR,319.92
HB00192,PAX00192,HOTEL194,2024-09-24,2025-02-21,5,Pending,Net Banking,EUR,302.3
HB00193,PAX00193,HOTEL253,2023-07-25,2025-07-02,4,Confirmed,PayPal,INR,182.17
HB00194,PAX00194,HOTEL214,2023-09-18,2025-04-16,4,Pending,PayPal,EUR,371.28
HB00195,PAX00195,HOTEL412,2024-02-19,2025-08-30,5,No-Show,Credit Card,USD,140.35
HB00196,PAX00196,HOTEL57,2024-05-20,2025-07-10,3,Confirmed,Net Banking,GBP,50.46
HB00197,PAX00197,HOTEL385,2024-05-23,2025-09-05,3,No-Show,Credit Card,INR,281.93
HB00198,PAX00198,HOTEL326,2023-09-23,2025-10-15,5,Confirmed,Net Banking,USD,361.98
HB00199,PAX00199,HOTEL361,2024-03-12,2025-05-04,4,Canceled,UPI,USD,245.34
HB00200,PAX00200,HOTEL176,2024-03-21,2025-11-11,4,No-Show,Net Banking,EUR,267.35
HB00201,PAX00201,HOTEL304,2023-01-31,2025-10-01,4,No-Show,Credit Card,USD,458.17
HB00202,PAX00202,HOTEL139,2024-07-13,2025-03-20,4,Confirmed,PayPal,USD,207.19
HB00203,PAX00203,HOTEL262,2023-09-30,2025-05-13,5,Confirmed,PayPal,INR,241.09
HB00204,PAX00204,HOTEL350,2023-04-11,2026-01-04,1,No-Show,UPI,USD,240.7
HB00205,PAX00205,HOTEL318,2023-04-01,2025-04-13,1,Confirmed,Net Banking,USD,368.11
HB00206,PAX00206,HOTEL40,2024-03-01,2025-06-28,4,No-Show,Net Banking,EUR,450.38
HB00207,PAX00207,HOTEL109,2023-02-19,2025-09-16,2,Confirmed,Net Banking,GBP,137.45
HB00208,PAX00208,HOTEL98,2024-11-16,2025-06-06,2,No-Show,Net Banking,USD,384.02
HB00209,PAX00209,HOTEL261,2023-07-20,2025-07-05,2,No-Show,Credit Card,GBP,259.86
HB00210,PAX00210,HOTEL496,2023-04-29,2025-11-26,1,Canceled,Credit Card,GBP,211.77
HB00211,PAX00211,HOTEL491,2024-09-10,2025-04-30,4,Confirmed,UPI,USD,354.5
HB00212,PAX00212,HOTEL6,2023-03-21,2025-10-27,4,Pending,Net Banking,EUR,270.57
HB00213,PAX00213,HOTEL405,2024-10-08,2025-05-15,4,Confirmed,UPI,GBP,269.26
HB00214,PAX00214,HOTEL293,2024-01-12,2025-06-15,3,Canceled,Net Banking,INR,150.53
HB00215,PAX00215,HOTEL245,2024-12-19,2025-08-13,3,Canceled,PayPal,INR,480.09
HB00216,PAX00216,HOTEL439,2024-04-28,2025-11-27,4,No-Show,UPI,USD,260.5
HB00217,PAX00217,HOTEL138,2024-02-10,2025-12-24,3,No-Show,Credit Card,USD,55.53
HB00218,PAX00218,HOTEL244,2023-08-01,2025-04-19,2,Pending,Net Banking,EUR,479.11
HB00219,PAX00219,HOTEL137,2023-02-22,2025-08-12,1,Confirmed,Net Banking,USD,195.8
HB00220,PAX00220,HOTEL198,2024-02-15,2025-05-27,1,Canceled,UPI,USD,160.38
HB00221,PAX00221,HOTEL318,2023-04-27,2025-09-03,4,Pending,UPI,GBP,58.89
HB00222,PAX00222,HOTEL82,2023-10-20,2026-01-04,2,No-Show,UPI,GBP,320.78
HB00223,PAX00223,HOTEL379,2023-03-28,2026-01-10,5,No-Show,UPI,USD,381.82
HB00224,PAX00224,HOTEL349,2024-10-27,2025-10-23,4,No-Show,Net Banking,INR,302.88
HB00225,PAX00225,HOTEL331,2023-12-25,2026-01-11,3,Pending,Net Banking,USD,109.87
HB00226,PAX00226,HOTEL129,2024-11-13,2025-04-24,4,Canceled,Net Banking,INR,407.99
HB00227,PAX00227,HOTEL178,2023-10-18,2025-06-30,5,No-Show,UPI,GBP,494.52
HB00228,PAX00228,HOTEL498,2023-05-03,2025-04-14,2,No-Show,Credit Card,INR,63.65
HB00229,PAX00229,HOTEL249,2023-04-19,2025-11-06,3,Confirmed,Net Banking,GBP,245.41
HB00230,PAX00230,HOTEL329,2024-02-12,2025-05-02,4,Confirmed,UPI,EUR,428.52
HB00231,PAX00231,HOTEL235,2023-08-18,2025-07-03,3,Pending,Credit Card,GBP,253.65
HB00232,PAX00232,HOTEL151,2023-02-08,2025-05-24,2,Pending,Credit Card,USD,212.53
HB00233,PAX00233,HOTEL308,2023-01-29,2025-02-05,4,No-Show,PayPal,EUR,169.59
HB00234,PAX00234,HOTEL456,2024-02-14,2025-02-10,4,Confirmed,PayPal,INR,473.21
HB00235,PAX00235,HOTEL85,2024-08-04,2025-07-18,5,Pending,Net Banking,INR,375.97
HB00236,PAX00236,HOTEL208,2023-03-10,2025-07-11,5,No-Show,UPI,INR,240.29
HB00237,PAX00237,HOTEL33,2024-07-21,2025-11-07,4,No-Show,Net Banking,INR,295.4
HB00238,PAX00238,HOTEL435,2023-09-20,2025-04-11,1,Canceled,UPI,INR,238.81
HB00239,PAX00239,HOTEL79,2023-06-07,2025-09-01,1,Canceled,UPI,INR,118.18
HB00240,PAX00240,HOTEL165,2024-04-22,2025-10-06,3,Confirmed,Net Banking,GBP,383.2
HB00241,PAX00241,HOTEL445,2024-12-06,2026-01-13,1,Canceled,PayPal,USD,78.06
HB00242,PAX00242,HOTEL145,2024-01-28,2025-03-21,2,Confirmed,Net Banking,USD,347.44
HB00243,PAX00243,HOTEL357,2024-10-02,2025-02-01,4,Pending,Net Banking,USD,211.3
HB00244,PAX00244,HOTEL249,2023-01-29,2025-11-22,1,Pending,UPI,EUR,266.34
HB00245,PAX00245,HOTEL405,2023-10-24,2025-08-21,4,Confirmed,PayPal,GBP,198.02
HB00246,PAX00246,HOTEL110,2024-04-24,2025-11-23,2,Pending,UPI,INR,487.05
HB00247,PAX00247,HOTEL286,2024-10-26,2025-05-02,1,Pending,Credit Card,GBP,325.49
HB00248,PAX00248,HOTEL452,2023-05-08,2025-08-13,3,Pending,Credit Card,GBP,366.38
HB00249,PAX00249,HOTEL471,2023-04-08,2025-06-10,4,No-Show,UPI,USD,137.1
HB00250,PAX00250,HOTEL417,2023-04-08,2026-01-25,2,No-Show,PayPal,EUR,197.96
HB00251,PAX00251,HOTEL416,2024-01-30,2025-12-25,4,Canceled,PayPal,USD,346.18
HB00252,PAX00252,HOTEL265,2024-04-12,2025-05-13,1,Canceled,PayPal,GBP,197.28
HB00253,PAX00253,HOTEL106,2024-06-18,2025-05-29,2,Confirmed,UPI,EUR,104.49
HB00254,PAX00254,HOTEL321,2024-06-08,2025-10-04,2,No-Show,PayPal,INR,162.51
HB00255,PAX00255,HOTEL466,2024-02-04,2025-12-21,5,Confirmed,Credit Card,EUR,260.23
HB00256,PAX00256,HOTEL327,2023-03-06,2026-01-20,5,Confirmed,PayPal,USD,365.27
HB00257,PAX00257,HOTEL8,2024-07-16,2025-12-19,4,Confirmed,PayPal,EUR,248.84
HB00258,PAX00258,HOTEL466,2024-03-21,2025-03-26,3,No-Show,UPI,USD,143.07
HB00259,PAX00259,HOTEL316,2023-03-06,2026-01-04,1,Pending,Net Banking,GBP,348.76
HB00260,PAX00260,HOTEL416,2023-12-15,2025-05-20,1,No-Show,PayPal,EUR,273.73
HB00261,PAX00261,HOTEL252,2024-07-18,2025-06-23,1,Confirmed,PayPal,GBP,121.56
HB00262,PAX00262,HOTEL10,2023-11-17,2025-12-27,3,No-Show,Net Banking,INR,367.95
HB00263,PAX00263,HOTEL267,2023-10-07,2025-02-27,4,Canceled,Credit Card,INR,158.9
HB00264,PAX00264,HOTEL459,2024-10-31,2025-08-24,4,No-Show,Net Banking,INR,58.54
HB00265,PAX00265,HOTEL443,2023-07-09,2025-06-24,1,Pending,UPI,GBP,459.21
HB00266,PAX00266,HOTEL72,2024-12-04,2025-03-17,3,No-Show,PayPal,USD,300.65
HB00267,PAX00267,HOTEL429,2023-04-22,2025-03-10,2,No-Show,PayPal,EUR,103.72
HB00268,PAX00268,HOTEL78,2023-07-14,2025-12-13,3,Canceled,UPI,USD,319.78
